	VectorID1
SWAP	309311
SCAFFOLD_MISMATCH	1426
DG0006973	530
DG0003642	463
DG0005069	436
DG0003182	422
DG0008651	412
DG0007092	400
DG0006994	397
DG0000030	393
DG0008712	387
DG0008782	383
DG0008644	382
DG0008706	377
DG0007094	377
DG0007095	373
DG0008650	369
DG0001534	367
DG0008647	365
DG0002035	364
DG0006924	358
DG0005134	357
DG0007039	354
DG0008653	354
DG0000453	353
DG0001790	346
DG0008686	346
DG0006322	341
DG0008306	341
DG0007061	340
DG0007048	339
DG0000597	337
DG0008640	336
DG0007122	333
DG0000589	333
DG0007607	332
DG0008560	328
DG0005150	328
DG0008605	328
DG0001547	327
DG0007085	325
DG0003161	324
DG0008711	323
DG0003181	323
DG0008851	321
DG0004891	318
DG0008497	316
DG0004424	315
DG0003641	315
DG0008898	313
DG0008646	312
DG0002495	312
DG0008469	311
DG0005194	311
DG0005352	310
DG0007098	310
DG0006926	309
DG0003478	306
DG0008697	306
DG0001496	305
DG0008661	304
DG0007072	302
DG0006966	302
DG0006869	302
DG0008620	300
DG0008629	299
DG0001373	299
DG0008100	298
DG0008166	295
DG0007040	294
DG0008561	294
DG0000059	293
DG0005643	293
DG0007210	292
DG0006750	291
DG0008527	290
DG0004981	289
DG0007301	289
DG0008854	289
DG0005110	287
DG0008298	287
DG0006512	286
DG0006972	286
DG0005075	285
DG0006651	285
DG0002513	285
DG0008725	285
DG0008619	285
DG0003784	284
DG0008887	284
DG0007934	284
DG0000237	283
DG0008568	282
DG0008475	281
DG0008675	281
DG0005661	281
DG0005571	280
DG0007115	280
DG0005551	280
DG0007086	280
DG0003021	280
DG0005026	278
DG0007070	278
DG0008124	278
DG0006688	278
DG0008757	278
DG0007082	277
DG0002356	277
DG0007143	277
DG0002055	276
DG0008705	276
DG0000999	276
DG0002029	275
DG0007302	275
DG0000437	275
DG0005509	274
DG0008693	274
DG0007126	274
DG0008491	274
DG0001700	273
DG0005039	273
DG0006849	273
DG0006775	273
DG0008362	273
DG0008584	273
DG0008676	272
DG0005166	272
DG0006954	272
DG0007079	271
DG0006875	270
DG0008720	270
DG0007059	270
DG0007035	269
DG0000027	269
DG0008660	269
DG0008332	268
DG0000581	267
DG0007016	266
DG0007022	266
DG0000023	266
DG0002514	265
DG0008684	265
DG0007077	265
DG0000057	265
DG0005668	265
DG0001792	264
DG0005122	264
DG0000515	264
DG0005183	263
DG0001196	263
DG0000145	262
DG0007001	261
DG0000029	261
DG0005123	260
DG0008748	260
DG0004893	259
DG0002741	259
DG0005504	259
DG0005428	258
DG0002843	257
DG0007165	257
DG0006776	257
DG0002039	257
DG0008487	257
DG0005049	256
DG0008666	256
DG0003763	256
DG0007008	255
DG0008401	255
DG0004796	255
DG0005058	254
DG0005091	253
DG0006955	252
DG0000007	252
DG0006780	252
DG0005543	251
DG0004805	251
DG0008717	251
DG0007290	250
DG0000454	249
DG0007081	249
DG0000845	249
DG0008396	249
DG0000809	249
DG0005072	248
DG0008371	248
DG0002048	248
DG0006790	248
DG0008892	248
DG0008545	247
DG0008738	247
DG0001470	247
DG0000061	247
DG0007038	247
DG0001786	246
DG0000173	245
DG0002439	245
DG0006756	245
DG0001116	244
DG0001916	244
DG0001815	244
DG0007028	244
DG0000682	244
DG0002047	244
DG0007236	243
DG0000725	243
DG0007071	243
DG0008878	242
DG0001188	242
DG0007131	242
DG0008691	242
DG0003898	242
DG0008702	241
DG0000047	241
DG0000535	241
DG0000594	241
DG0005187	241
DG0005282	241
DG0007232	241
DG0000189	240
DG0008641	240
DG0002655	240
DG0000434	240
DG0002024	239
DG0007107	239
DG0000585	239
DG0007093	239
DG0005534	239
DG0003614	238
DG0003634	238
DG0000087	238
DG0007042	237
DG0003222	237
DG0007262	237
DG0008713	237
DG0001525	237
DG0007074	237
DG0004784	237
DG0001523	237
DG0002965	236
DG0005057	236
DG0001377	236
DG0005045	235
DG0002652	235
DG0007000	235
DG0008449	235
DG0008749	235
DG0000786	235
DG0005401	235
DG0000456	234
DG0008699	234
DG0008621	234
DG0008625	234
DG0003466	234
DG0005305	232
DG0005223	232
DG0003388	232
DG0001515	232
DG0003351	231
DG0005048	231
DG0004837	231
DG0000018	231
DG0008434	231
DG0006812	231
DG0008698	231
DG0008168	230
DG0001903	230
DG0002715	230
DG0000122	230
DG0003438	230
DG0008745	230
DG0001704	230
DG0001784	230
DG0008688	230
DG0006233	229
DG0004614	229
DG0000441	229
DG0001533	229
DG0001821	229
DG0007060	229
DG0003792	229
DG0002011	228
DG0007011	228
DG0006965	228
DG0008569	228
DG0005421	228
DG0008860	228
DG0008450	228
DG0008704	227
DG0008750	227
DG0002036	226
DG0001917	226
DG0000936	226
DG0004860	226
DG0005200	226
DG0008758	226
DG0001846	225
DG0005107	225
DG0000013	225
DG0005519	225
DG0002743	224
DG0004987	224
DG0008538	224
DG0001663	224
DG0004911	224
DG0005151	224
DG0007220	224
DG0006744	223
DG0008796	223
DG0005082	223
DG0008477	223
DG0005540	223
DG0005124	223
DG0007018	223
DG0002053	222
DG0005577	222
DG0008759	222
DG0000125	222
DG0000181	221
DG0008606	221
DG0007009	221
DG0001810	221
DG0008739	221
DG0002837	221
DG0000945	221
DG0008871	220
DG0008814	220
DG0000797	220
DG0002973	220
DG0006758	220
DG0005679	220
DG0008566	220
DG0006989	220
DG0008300	220
DG0005227	219
DG0008420	219
DG0008719	218
DG0001535	218
DG0001599	218
DG0005404	218
DG0002740	218
DG0008403	218
DG0001834	218
DG0006857	218
DG0007020	218
DG0005470	218
DG0000451	217
DG0001935	217
DG0000006	217
DG0000252	217
DG0002494	216
DG0006967	216
DG0000106	216
DG0008795	216
DG0000442	216
DG0007052	216
DG0002156	216
DG0002033	216
DG0001727	216
DG0005520	216
DG0001063	215
DG0000120	215
DG0006971	215
DG0007215	215
DG0000598	215
DG0003066	215
DG0008499	215
DG0003502	215
DG0001164	215
DG0008612	214
DG0000534	214
DG0005228	214
DG0008683	214
DG0008573	214
DG0006968	214
DG0008872	214
DG0008577	213
DG0001450	213
DG0000447	213
DG0008913	213
DG0008743	213
DG0006789	212
DG0008503	212
DG0000093	212
DG0003613	212
DG0002804	212
DG0008810	212
DG0001938	212
DG0008674	212
DG0008563	212
DG0007673	212
DG0006891	211
DG0006800	211
DG0008781	211
DG0005209	211
DG0003500	211
DG0005203	211
DG0008830	211
DG0001579	210
DG0004226	210
DG0003668	210
DG0007145	210
DG0004828	210
DG0005390	210
DG0007754	210
DG0008754	210
DG0005651	210
DG0000015	209
DG0000527	209
DG0006865	209
DG0002987	209
DG0008822	209
DG0007005	209
DG0001445	209
DG0008303	209
DG0000618	209
DG0007121	209
DG0008508	208
DG0007226	208
DG0005184	208
DG0008608	208
DG0002422	208
DG0006957	208
DG0007250	208
DG0002253	208
DG0003201	208
DG0007118	208
DG0008576	207
DG0001495	207
DG0006879	207
DG0000519	207
DG0006996	207
DG0007760	207
DG0005578	207
DG0005482	207
DG0001679	207
DG0005188	207
DG0000531	207
DG0002977	207
DG0006950	206
DG0006964	206
DG0006735	206
DG0007674	206
DG0005186	206
DG0001947	205
DG0008581	205
DG0001406	205
DG0000104	205
DG0000254	205
DG0005464	205
DG0002027	205
DG0007127	205
DG0004896	205
DG0006785	205
DG0006960	204
DG0008613	204
DG0001438	204
DG0000081	204
DG0007409	204
DG0000998	203
DG0006814	203
DG0004854	203
DG0007354	203
DG0001160	203
DG0006949	203
DG0008338	202
DG0000727	202
DG0001163	202
DG0005136	202
DG0008631	202
DG0008867	202
DG0002297	202
DG0002800	202
DG0008485	202
DG0002017	202
DG0005559	201
DG0008617	201
DG0002249	201
DG0000703	201
DG0008380	201
DG0008322	201
DG0001473	201
DG0000756	200
DG0003735	200
DG0008624	200
DG0002285	200
DG0000957	200
DG0007136	200
DG0005197	199
DG0007087	199
DG0008673	199
DG0008263	199
DG0005172	199
DG0005109	199
DG0001171	199
DG0007105	199
DG0001172	199
DG0006916	199
DG0002832	199
DG0007137	199
DG0001327	199
DG0006801	199
DG0001880	198
DG0005484	198
DG0008397	198
DG0002808	198
DG0005127	198
DG0005535	198
DG0002003	198
DG0005631	197
DG0005076	197
DG0001507	197
DG0008463	197
DG0005334	197
DG0005196	197
DG0001144	197
DG0003775	197
DG0007101	197
DG0000704	197
DG0001915	197
DG0000295	197
DG0000085	197
DG0000790	197
DG0008696	197
DG0008639	196
DG0003024	196
DG0007047	196
DG0005130	196
DG0000541	196
DG0002821	196
DG0008544	196
DG0007146	196
DG0000041	196
DG0005596	196
DG0004470	196
DG0004791	195
DG0002866	195
DG0001513	195
DG0008588	195
DG0005174	195
DG0007050	195
DG0003174	195
DG0008692	195
DG0004902	195
DG0004960	194
DG0002959	194
DG0003072	194
DG0002041	194
DG0002986	194
DG0004793	194
DG0008522	194
DG0008764	194
DG0000334	193
DG0006915	193
DG0007235	193
DG0002438	193
DG0005388	193
DG0008559	193
DG0008665	193
DG0002022	193
DG0005281	193
DG0006953	193
DG0008514	193
DG0001711	193
DG0000455	192
DG0001954	192
DG0008832	192
DG0001719	192
DG0005875	192
DG0008792	192
DG0006923	192
DG0008784	192
DG0007164	192
DG0005125	192
DG0001998	192
DG0002651	192
DG0001919	192
DG0001715	191
DG0000373	191
DG0005033	191
DG0007068	191
DG0001159	191
DG0002023	191
DG0003615	191
DG0000279	191
DG0005572	191
DG0005149	191
DG0008829	191
DG0007689	191
DG0003645	191
DG0000256	191
DG0003177	190
DG0007260	190
DG0001707	190
DG0002350	190
DG0007099	190
DG0007113	190
DG0000630	190
DG0007980	190
DG0005165	190
DG0005506	190
DG0007234	190
DG0008687	190
DG0002043	190
DG0008412	189
DG0003671	189
DG0007084	189
DG0002869	189
DG0008777	189
DG0003791	189
DG0000587	189
DG0004813	189
DG0008421	189
DG0002716	189
DG0007255	189
DG0003457	189
DG0007221	189
DG0005362	189
DG0007175	189
DG0005471	188
DG0002018	188
DG0002520	188
DG0001773	188
DG0006734	188
DG0007213	188
DG0005403	188
DG0007180	188
DG0007130	188
DG0008755	188
DG0001200	188
DG0006694	188
DG0008753	188
DG0006983	188
DG0001497	188
DG0001826	188
DG0005051	188
DG0008902	188
DG0008565	188
DG0005284	188
DG0001875	187
DG0007706	187
DG0001431	187
DG0003183	187
DG0007032	187
DG0002687	187
DG0001374	187
DG0001698	187
DG0000234	187
DG0005173	187
DG0004997	186
DG0001898	186
DG0005556	186
DG0000793	186
DG0006831	186
DG0002521	186
DG0008304	186
DG0006975	186
DG0004967	186
DG0003788	186
DG0003081	186
DG0007500	186
DG0005017	186
DG0000427	186
DG0008618	186
DG0002924	186
DG0005394	186
DG0000825	186
DG0000745	186
DG0000031	186
DG0005241	186
DG0000524	185
DG0003180	185
DG0001774	185
DG0005291	185
DG0007034	185
DG0008438	185
DG0008664	185
DG0008815	185
DG0000833	185
DG0000359	185
DG0007069	185
DG0007203	185
DG0005655	184
DG0002347	184
DG0001253	184
DG0007196	184
DG0003067	184
DG0003948	184
DG0000994	184
DG0001788	184
DG0007058	184
DG0002720	184
DG0002418	184
DG0006368	184
DG0001500	184
DG0001986	183
DG0000415	183
DG0005070	183
DG0008301	183
DG0005012	183
DG0000593	183
DG0008472	183
DG0005064	183
DG0005448	183
DG0001511	183
DG0008732	183
DG0006784	183
DG0007416	182
DG0008656	182
DG0005144	182
DG0007041	182
DG0006984	182
DG0005201	182
DG0000798	182
DG0007031	181
DG0002227	181
DG0005459	181
DG0000367	181
DG0005078	181
DG0005140	181
DG0002921	181
DG0007270	181
DG0005625	181
DG0001334	181
DG0006556	181
DG0008571	181
DG0000111	181
DG0005034	181
DG0008315	181
DG0008370	181
DG0001024	181
DG0004877	181
DG0008671	181
DG0002570	181
DG0000128	181
DG0002685	181
DG0007138	180
DG0000433	180
DG0000591	180
DG0005589	180
DG0001519	180
DG0008579	180
DG0005357	180
DG0004794	180
DG0001180	180
DG0005322	180
DG0001781	180
DG0000100	180
DG0005902	180
DG0000452	180
DG0005684	179
DG0001297	179
DG0008645	179
DG0000885	179
DG0008633	179
DG0001964	179
DG0008406	179
DG0006695	179
DG0008293	179
DG0001713	179
DG0000003	179
DG0005272	179
DG0005229	179
DG0008858	179
DG0005666	179
DG0007274	178
DG0008365	178
DG0002246	178
DG0000624	178
DG0004069	178
DG0005249	178
DG0007026	178
DG0007545	178
DG0006070	178
DG0000676	178
DG0002836	178
DG0000017	177
DG0002932	177
DG0006863	177
DG0008679	177
DG0005537	177
DG0001408	176
DG0005636	176
DG0002044	176
DG0006794	176
DG0002291	176
DG0002006	176
DG0001235	176
DG0008572	176
DG0004800	176
DG0003954	176
DG0008689	176
DG0005137	176
DG0007552	176
DG0000955	175
DG0000693	175
DG0005374	175
DG0007275	175
DG0002458	175
DG0000953	175
DG0000963	175
DG0008868	175
DG0006939	175
DG0006896	175
DG0005378	175
DG0005650	175
DG0003412	174
DG0002927	174
DG0000005	174
DG0000407	174
DG0005161	174
DG0004943	174
DG0007054	174
DG0002216	173
DG0005238	173
DG0005657	173
