	VectorID1
SWAP	341205
SCAFFOLD_MISMATCH	2073
DG0006973	538
DG0007039	512
DG0005194	494
DG0008686	486
DG0008651	481
DG0007092	470
DG0008640	435
DG0006994	435
DG0005134	425
DG0001792	418
DG0006322	412
DG0008650	404
DG0007094	401
DG0005282	400
DG0002513	397
DG0003642	396
DG0008706	396
DG0003641	395
DG0007086	393
DG0007122	392
DG0008647	388
DG0008739	387
DG0007035	377
DG0001790	368
DG0005069	351
DG0007079	351
DG0006750	351
DG0005075	349
DG0008748	348
DG0005123	348
DG0005228	347
DG0003161	343
DG0005661	342
DG0007081	341
DG0001534	341
DG0008782	341
DG0007000	340
DG0006869	340
DG0008732	339
DG0000455	335
DG0007061	334
DG0007072	332
DG0000589	332
DG0008538	331
DG0000181	330
DG0005470	326
DG0007145	326
DG0007087	325
DG0008720	324
DG0007077	323
DG0004981	322
DG0008605	322
DG0000453	321
DG0008784	320
DG0008646	318
DG0002741	317
DG0007107	316
DG0008545	316
DG0003900	315
DG0008653	315
DG0007074	314
DG0008712	314
DG0008725	312
DG0007093	312
DG0008851	312
DG0006957	312
DG0007095	311
DG0002652	310
DG0001373	310
DG0006790	310
DG0001196	309
DG0008887	308
DG0000029	308
DG0006955	308
DG0007098	308
DG0007131	308
DG0007220	307
DG0008475	307
DG0005127	305
DG0000945	305
DG0007934	305
DG0003351	304
DG0005026	303
DG0007115	301
DG0004424	300
DG0002006	300
DG0008717	299
DG0005157	299
DG0000809	297
DG0007607	296
DG0008679	296
DG0005551	295
DG0000515	295
DG0008691	295
DG0000059	294
DG0005421	292
DG0005305	292
DG0006789	291
DG0005072	291
DG0006875	291
DG0008675	290
DG0008753	290
DG0001728	289
DG0005209	288
DG0002039	288
DG0002035	288
DG0005643	288
DG0004796	288
DG0000173	287
DG0008469	286
DG0000597	285
DG0006924	285
DG0008711	284
DG0005107	284
DG0007085	284
DG0005272	282
DG0000013	282
DG0006775	282
DG0008563	281
DG0008702	281
DG0007235	281
DG0002850	281
DG0000797	280
DG0008579	280
DG0008569	280
DG0007126	279
DG0006651	279
DG0005557	279
DG0008745	279
DG0005131	278
DG0007262	278
DG0005195	277
DG0007138	277
DG0006756	277
DG0001531	276
DG0008568	275
DG0004854	274
DG0008719	274
DG0005534	273
DG0007754	273
DG0008705	273
DG0008684	272
DG0006849	272
DG0007302	271
DG0000015	271
DG0008322	271
DG0007203	271
DG0007022	270
DG0008723	270
DG0008561	270
DG0000081	269
DG0002055	269
DG0002024	268
DG0002932	268
DG0005403	266
DG0001986	266
DG0001547	265
DG0005519	265
DG0007001	264
DG0003021	264
DG0007180	264
DG0008485	264
DG0008565	264
DG0006972	263
DG0008758	263
DG0002356	263
DG0002359	262
DG0000789	262
DG0000598	262
DG0007031	262
DG0008450	262
DG0008401	262
DG0004891	261
DG0003067	261
DG0006512	260
DG0006688	260
DG0001920	260
DG0008298	259
DG0008814	259
DG0000018	259
DG0008499	259
DG0000185	259
DG0008797	258
DG0001523	258
DG0003478	258
DG0002651	257
DG0008695	257
DG0002494	256
DG0008124	256
DG0007118	256
DG0007200	256
DG0005187	256
DG0008306	256
DG0006785	256
DG0007038	255
DG0000694	255
DG0003763	255
DG0004860	255
DG0003500	254
DG0008698	254
DG0000955	254
DG0003784	254
DG0001496	254
DG0006368	254
DG0002831	253
DG0000451	253
DG0002439	253
DG0004893	253
DG0000007	252
DG0001917	252
DG0005571	252
DG0003120	252
DG0002036	252
DG0008617	252
DG0005058	251
DG0008497	251
DG0007226	251
DG0007706	251
DG0003615	251
DG0008900	250
DG0008830	249
DG0008166	249
DG0001144	248
DG0007099	248
DG0007130	247
DG0001966	247
DG0002018	247
DG0008449	247
DG0005428	247
DG0000252	246
DG0008404	246
DG0008904	246
DG0005103	246
DG0008577	246
DG0008862	245
DG0005578	245
DG0002843	245
DG0006784	245
DG0003182	245
DG0005464	245
DG0004658	245
DG0008757	244
DG0008619	244
DG0005509	244
DG0007409	244
DG0001515	244
DG0005352	243
DG0008892	243
DG0007048	243
DG0003181	243
DG0003613	243
DG0008878	242
DG0005394	242
DG0005577	242
DG0008902	241
DG0001700	241
DG0000189	241
DG0001235	241
DG0004470	240
DG0005197	240
DG0001680	240
DG0006879	240
DG0000030	240
DG0008303	240
DG0002297	240
DG0008332	240
DG0000254	239
DG0001965	239
DG0003588	239
DG0001774	239
DG0008641	239
DG0007065	238
DG0002053	238
DG0008631	238
DG0008534	238
DG0002011	238
DG0005151	238
DG0005061	238
DG0008620	238
DG0002475	237
DG0001408	237
DG0000841	237
DG0008606	237
DG0007071	237
DG0008704	236
DG0005297	236
DG0002967	236
DG0004933	236
DG0004805	236
DG0000047	236
DG0005446	236
DG0001188	236
DG0006954	236
DG0006980	235
DG0007143	235
DG0005471	235
DG0001711	235
DG0000618	235
DG0005232	235
DG0000248	235
DG0005150	235
DG0008754	235
DG0005188	235
DG0006949	235
DG0007133	235
DG0000682	234
DG0006831	234
DG0005533	234
DG0008734	234
DG0002821	234
DG0001998	234
DG0001910	234
DG0000837	234
DG0000237	234
DG0001525	233
DG0000435	233
DG0002023	233
DG0007165	233
DG0001846	232
DG0005504	232
DG0002715	232
DG0002347	232
DG0000005	232
DG0001810	232
DG0008660	232
DG0002017	232
DG0001180	232
DG0007032	232
DG0001035	232
DG0000442	232
DG0000537	232
DG0001160	232
DG0005334	231
DG0008801	231
DG0007034	230
DG0002027	230
DG0005650	230
DG0008847	230
DG0006948	230
DG0008796	230
DG0001972	230
DG0008100	230
DG0003201	229
DG0007135	229
DG0000535	229
DG0001443	229
DG0006966	229
DG0004998	229
DG0000999	229
DG0007301	228
DG0005473	228
DG0005644	228
DG0005057	227
DG0005235	227
DG0002959	227
DG0008278	227
DG0005122	227
DG0005876	227
DG0003778	227
DG0005637	226
DG0008798	226
DG0007023	226
DG0003218	226
DG0000994	226
DG0007028	225
DG0001171	225
DG0008621	225
DG0005625	225
DG0001535	225
DG0001919	225
DG0008822	225
DG0005459	225
DG0008666	225
DG0005423	225
DG0005401	224
DG0000433	224
DG0006926	224
DG0005130	224
DG0003735	223
DG0005017	223
DG0003183	223
DG0000456	223
DG0005104	223
DG0008738	223
DG0000023	222
DG0000519	222
DG0005281	222
DG0008697	222
DG0000427	222
DG0005172	222
DG0004784	222
DG0007108	222
DG0000581	222
DG0008392	222
DG0003387	222
DG0006946	222
DG0003671	222
DG0000122	222
DG0000728	222
DG0003792	222
DG0001770	222
DG0002520	222
DG0000673	222
DG0008644	221
DG0002869	221
DG0000334	221
DG0005684	221
DG0007297	221
DG0004852	221
DG0007231	220
DG0001437	220
DG0008396	220
DG0008898	220
DG0003791	220
DG0008634	220
DG0007059	220
DG0002547	220
DG0000437	220
DG0005229	220
DG0000061	219
DG0006865	219
DG0003189	219
DG0006916	219
DG0005152	219
DG0008362	218
DG0006933	218
DG0005200	218
DG0001519	218
DG0000530	218
DG0000441	218
DG0005407	218
DG0001915	218
DG0005143	218
DG0008693	218
DG0001988	218
DG0001903	217
DG0007002	217
DG0005596	217
DG0005161	217
DG0008438	217
DG0000541	217
DG0008896	217
DG0003775	216
DG0004991	216
DG0005137	216
DG0007062	216
DG0008560	216
DG0008514	216
DG0007250	216
DG0001450	216
DG0002576	216
DG0004226	215
DG0008365	215
DG0002054	215
DG0008487	215
DG0001179	215
DG0003738	215
DG0007047	215
DG0005448	215
DG0004793	214
DG0002056	214
DG0002422	214
DG0003001	214
DG0008580	214
DG0002495	214
DG0005159	214
DG0008559	214
DG0007026	214
DG0005245	214
DG0002437	214
DG0000790	214
DG0003177	213
DG0004063	213
DG0000776	213
DG0002419	213
DG0002716	213
DG0005223	213
DG0007142	213
DG0002234	213
DG0005227	213
DG0003338	213
DG0005548	213
DG0007136	213
DG0001663	213
DG0001772	212
DG0005341	212
DG0007673	212
DG0003190	212
DG0003175	211
DG0005203	211
DG0004275	211
DG0003022	211
DG0001784	211
DG0001063	211
DG0002965	211
DG0000803	211
DG0001821	211
DG0000527	210
DG0005337	210
DG0002832	210
DG0000031	210
DG0005050	210
DG0008371	210
DG0002000	210
DG0007009	210
DG0007082	210
DG0008795	210
DG0000769	210
DG0000446	209
DG0000043	209
DG0001704	209
DG0002987	209
DG0000443	209
DG0005540	209
DG0000993	209
DG0003494	209
DG0005140	209
DG0007184	209
DG0006233	209
DG0005039	209
DG0000177	208
DG0000943	208
DG0000801	208
DG0002693	208
DG0008625	208
DG0000536	208
DG0006964	208
DG0006953	208
DG0001569	208
DG0006367	207
DG0001172	207
DG0000296	207
DG0007210	207
DG0008665	207
DG0003082	207
DG0001678	207
DG0008799	207
DG0005875	206
DG0007452	206
DG0000192	206
DG0006891	206
DG0005239	206
DG0006984	206
DG0008664	206
DG0000693	206
DG0005362	206
DG0000804	206
DG0001898	205
DG0007070	205
DG0008421	205
DG0008696	205
DG0007096	205
DG0002973	205
DG0005110	205
DG0002655	205
DG0001865	205
DG0008409	204
DG0006776	204
DG0006982	204
DG0002719	204
DG0005363	204
DG0003948	204
DG0000215	204
DG0005506	204
DG0006950	204
DG0008527	204
DG0007247	204
DG0000987	204
DG0002014	204
DG0002954	204
DG0006800	204
DG0008877	204
DG0005071	204
DG0008503	204
DG0002029	204
DG0004975	203
DG0002344	203
DG0005174	203
DG0006708	203
DG0008656	203
DG0001938	203
DG0000984	203
DG0003186	203
DG0000422	202
DG0007018	202
DG0008844	202
DG0008687	202
DG0008913	202
DG0001421	202
DG0008493	202
DG0000583	202
DG0002284	202
DG0002519	202
DG0008860	202
DG0007689	202
DG0002640	202
DG0002921	202
DG0007011	202
DG0007041	202
DG0000253	202
DG0001587	202
DG0003066	202
DG0008639	201
DG0006881	201
DG0002523	201
DG0007760	201
DG0000240	201
DG0008552	201
DG0005537	201
DG0007261	200
DG0006747	200
DG0008834	200
DG0007275	200
DG0002457	200
DG0005012	200
DG0002539	200
DG0007049	200
DG0000316	200
DG0008566	200
DG0005308	200
DG0000749	200
DG0007113	199
DG0002709	199
DG0004828	199
DG0003466	199
DG0006974	199
DG0003015	199
DG0001565	199
DG0001923	199
DG0008815	199
DG0005076	199
DG0008588	199
DG0008817	199
DG0005213	199
DG0005520	198
DG0008380	198
DG0001834	198
DG0005186	198
DG0002907	198
DG0008713	198
DG0002355	198
DG0005322	198
DG0005940	198
DG0001505	198
DG0004837	198
DG0001391	198
DG0006989	198
DG0006971	197
DG0001361	197
DG0003634	197
DG0002897	197
DG0008867	197
DG0004469	197
DG0003636	197
DG0001954	197
DG0008370	197
DG0001374	197
DG0008182	196
DG0001716	196
DG0008576	196
DG0007076	196
DG0006970	196
DG0005067	196
DG0008500	196
DG0005422	196
DG0005665	196
DG0008818	196
DG0006975	196
DG0001994	196
DG0008742	196
DG0002434	196
DG0003502	196
DG0005339	196
DG0007159	196
DG0004940	196
DG0007008	196
DG0008491	196
DG0001935	196
DG0000064	195
DG0005049	195
DG0008348	195
DG0001705	195
DG0007029	195
DG0004870	195
DG0008584	195
DG0000768	195
DG0008787	195
DG0004877	195
DG0000936	195
DG0004948	195
DG0007060	194
DG0008676	194
DG0008375	194
DG0005631	194
DG0001522	194
DG0002253	194
DG0006857	194
DG0008872	194
DG0007101	194
DG0007234	194
DG0005679	194
DG0002633	193
DG0007268	193
DG0005514	193
DG0007170	193
DG0002216	193
DG0000057	193
DG0000373	193
DG0000587	193
DG0008773	192
DG0002476	192
DG0007110	192
DG0003412	192
DG0008346	192
DG0001681	192
DG0003527	191
DG0000981	191
DG0001120	191
DG0001533	191
DG0006300	191
DG0006694	191
DG0008730	191
DG0003184	191
DG0000087	191
DG0008466	190
DG0001195	190
DG0007121	190
DG0003147	190
DG0005574	190
DG0002704	190
DG0005166	190
DG0008843	190
DG0001377	190
DG0008744	190
DG0008292	190
DG0000256	190
DG0006846	190
DG0005048	189
DG0003352	189
DG0001815	189
DG0003559	189
DG0002438	189
DG0008699	189
DG0008812	189
DG0002343	189
