	VectorID1
SWAP	273187
SCAFFOLD_MISMATCH	1442
DG0006651	291
DG0008497	281
DG0003614	255
DG0008306	254
DG0007409	252
DG0008782	242
DG0008651	242
DG0001534	240
DG0000541	240
DG0008071	239
DG0007424	237
DG0007452	233
DG0008706	231
DG0008545	231
DG0005811	228
DG0007467	224
DG0000809	224
DG0006973	224
DG0004796	223
DG0007180	222
DG0007039	221
DG0001116	221
DG0007086	217
DG0005282	217
DG0003642	216
DG0006411	216
DG0006322	215
DG0008126	215
DG0003645	215
DG0006380	213
DG0007220	212
DG0007094	212
DG0006646	208
DG0005026	208
DG0001241	207
DG0004424	206
DG0004661	206
DG0006053	205
DG0006849	205
DG0007824	204
DG0000845	204
DG0007923	204
DG0000145	204
DG0006869	203
DG0007268	202
DG0007301	202
DG0005643	202
DG0004669	201
DG0003681	201
DG0004759	200
DG0007095	199
DG0005699	199
DG0006875	198
DG0001571	197
DG0006129	197
DG0008182	197
DG0007543	197
DG0006085	196
DG0005069	195
DG0002513	195
DG0005194	195
DG0006636	194
DG0005925	193
DG0004987	192
DG0006571	191
DG0003182	191
DG0007992	190
DG0001063	190
DG0004997	189
DG0001551	189
DG0002356	188
DG0007307	188
DG0005820	188
DG0001554	188
DG0008060	187
DG0001663	186
DG0008179	186
DG0007531	186
DG0004805	185
DG0008538	185
DG0006093	185
DG0006800	185
DG0008401	185
DG0006657	185
DG0003466	184
DG0002741	184
DG0003959	184
DG0006318	182
DG0006924	182
DG0003338	182
DG0008469	182
DG0003161	182
DG0001821	181
DG0000559	181
DG0003201	181
DG0000029	181
DG0000151	180
DG0006403	179
DG0003914	179
DG0007760	179
DG0006231	179
DG0007092	178
DG0006082	178
DG0006297	178
DG0008913	178
DG0004184	177
DG0006538	176
DG0007854	176
DG0006144	176
DG0002495	176
DG0005905	175
DG0004341	175
DG0008449	175
DG0008640	175
DG0002085	174
DG0002359	174
DG0008181	174
DG0000373	174
DG0006288	173
DG0003387	173
DG0006896	173
DG0003896	173
DG0008854	173
DG0006311	172
DG0001892	172
DG0008647	172
DG0005887	172
DG0005557	172
DG0005742	172
DG0002062	172
DG0006885	172
DG0002843	172
DG0006527	171
DG0007843	171
DG0006241	171
DG0007902	171
DG0003478	171
DG0003331	171
DG0008157	170
DG0007697	170
DG0004051	170
DG0007934	170
DG0008893	170
DG0007544	170
DG0007781	170
DG0008485	170
DG0008650	170
DG0007709	170
DG0008100	170
DG0006178	169
DG0005885	169
DG0008322	169
DG0003181	169
DG0007758	169
DG0008814	168
DG0000597	168
DG0008675	168
DG0005826	168
DG0006089	168
DG0002035	168
DG0001153	167
DG0008392	167
DG0005800	167
DG0008699	167
DG0008166	167
DG0001525	167
DG0003180	166
DG0001547	166
DG0004998	166
DG0006299	166
DG0005668	166
DG0003388	166
DG0000553	166
DG0000797	166
DG0000994	166
DG0003613	165
DG0001473	165
DG0000841	165
DG0002134	165
DG0006429	165
DG0001450	165
DG0000860	165
DG0008508	165
DG0006688	165
DG0008450	164
DG0008278	164
DG0000537	164
DG0002965	164
DG0008568	164
DG0008313	164
DG0008898	164
DG0007079	164
DG0008298	164
DG0000598	164
DG0003283	164
DG0003763	163
DG0007724	163
DG0008503	163
DG0007840	163
DG0008631	163
DG0008053	163
DG0005796	163
DG0004828	163
DG0007530	162
DG0001705	162
DG0007896	162
DG0002652	162
DG0006891	162
DG0005209	162
DG0000437	162
DG0005574	162
DG0004166	162
DG0008371	161
DG0008003	161
DG0002144	161
DG0001966	161
DG0000535	160
DG0007381	160
DG0008304	160
DG0000334	160
DG0001373	160
DG0008773	160
DG0007087	160
DG0001322	160
DG0003899	160
DG0005322	160
DG0004247	160
DG0002347	159
DG0001095	159
DG0003121	159
DG0005889	159
DG0007035	159
DG0005012	159
DG0007455	159
DG0005940	158
DG0000543	158
DG0003812	158
DG0007746	158
DG0007754	158
DG0006647	158
DG0006556	158
DG0007226	158
DG0002419	158
DG0008404	158
DG0002677	158
DG0007728	158
DG0004641	158
DG0002889	157
DG0008717	157
DG0007072	157
DG0008153	157
DG0007306	157
DG0007262	157
DG0001790	157
DG0001643	157
DG0008739	157
DG0006994	157
DG0003989	157
DG0002743	157
DG0004614	156
DG0001347	156
DG0000415	156
DG0008216	156
DG0006694	156
DG0008116	156
DG0006209	156
DG0007796	156
DG0000801	156
DG0008491	156
DG0002808	156
DG0001377	155
DG0008878	155
DG0006775	155
DG0007789	155
DG0001903	155
DG0006512	155
DG0006496	155
DG0006509	155
DG0000495	155
DG0006234	154
DG0007500	154
DG0008892	154
DG0005661	154
DG0005352	154
DG0007022	154
DG0006559	154
DG0003598	154
DG0002805	154
DG0001909	154
DG0006783	154
DG0001496	154
DG0006933	154
DG0005961	153
DG0003897	153
DG0003671	153
DG0000018	153
DG0002967	153
DG0007423	153
DG0002039	153
DG0003082	153
DG0008851	153
DG0006916	153
DG0007048	152
DG0007309	152
DG0005794	152
DG0004550	152
DG0007311	152
DG0001885	152
DG0003559	152
DG0002520	152
DG0006670	152
DG0003177	152
DG0008781	151
DG0000237	151
DG0008487	151
DG0000694	151
DG0005413	151
DG0004744	151
DG0000577	151
DG0004418	150
DG0003351	150
DG0007438	150
DG0008396	150
DG0004173	150
DG0005576	150
DG0007061	150
DG0001334	150
DG0007059	150
DG0001489	150
DG0000698	150
DG0005906	149
DG0003066	149
DG0000023	149
DG0000015	149
DG0007662	149
DG0003735	149
DG0008121	149
DG0008209	149
DG0007741	149
DG0000047	149
DG0002253	149
DG0001947	149
DG0008056	148
DG0005974	148
DG0007661	148
DG0007085	148
DG0006857	148
DG0003034	148
DG0005075	148
DG0001188	148
DG0001408	148
DG0008686	148
DG0006661	147
DG0001738	147
DG0004640	147
DG0002399	147
DG0001792	147
DG0008078	147
DG0004603	147
DG0001024	147
DG0006072	147
DG0007468	147
DG0006233	147
DG0000059	147
DG0004016	147
DG0007745	147
DG0005174	147
DG0006695	146
DG0002757	146
DG0008124	146
DG0005150	146
DG0001103	146
DG0007181	146
DG0005134	146
DG0006488	146
DG0004022	146
DG0005797	146
DG0004167	146
DG0007412	145
DG0007416	145
DG0004018	145
DG0008661	145
DG0007509	145
DG0006678	145
DG0004939	145
DG0007820	145
DG0004357	145
DG0004165	144
DG0008577	144
DG0002655	144
DG0002286	144
DG0001196	144
DG0007333	144
DG0005577	144
DG0003067	144
DG0000395	144
DG0004658	143
DG0002789	143
DG0007196	143
DG0000888	143
DG0008446	143
DG0007787	143
DG0000856	143
DG0003077	143
DG0007098	143
DG0001634	142
DG0002439	142
DG0008142	142
DG0006459	142
DG0000519	142
DG0007607	142
DG0008862	142
DG0003698	142
DG0008406	142
DG0006150	142
DG0004784	142
DG0008625	141
DG0001888	141
DG0007210	141
DG0008797	141
DG0006712	141
DG0004218	141
DG0008101	141
DG0006002	141
DG0006460	141
DG0001846	141
DG0004493	141
DG0001120	141
DG0007804	141
DG0005534	141
DG0008158	141
DG0004566	141
DG0000813	140
DG0008315	140
DG0002418	140
DG0007850	140
DG0006321	140
DG0001115	140
DG0006514	140
DG0004738	140
DG0000181	140
DG0006451	140
DG0000885	140
DG0001421	140
DG0000967	140
DG0005795	140
DG0003005	140
DG0001321	139
DG0005551	139
DG0000173	139
DG0000125	139
DG0008293	139
DG0008028	139
DG0002925	139
DG0007837	139
DG0006071	139
DG0003312	139
DG0008705	139
DG0008784	139
DG0000189	139
DG0000786	139
DG0007026	139
DG0008660	139
DG0004981	138
DG0006504	138
DG0000979	138
DG0007921	138
DG0000071	138
DG0005858	138
DG0003174	138
DG0007143	138
DG0003404	138
DG0008138	138
DG0005394	138
