	VectorID1
SWAP	473839
SCAFFOLD_MISMATCH	2792
DG0006651	456
DG0008497	446
DG0008306	417
DG0003614	415
DG0008651	410
DG0007452	410
DG0005820	405
DG0008071	404
DG0005282	386
DG0001063	386
DG0007467	385
DG0005699	384
DG0007409	384
DG0003642	382
DG0006869	379
DG0008640	374
DG0006875	374
DG0008706	370
DG0008126	370
DG0000541	370
DG0001534	369
DG0000845	369
DG0008538	366
DG0006411	359
DG0007094	358
DG0005885	355
DG0000809	355
DG0005811	355
DG0001116	353
DG0008028	352
DG0008545	352
DG0007039	349
DG0006973	348
DG0006322	348
DG0003641	347
DG0005800	346
DG0002356	345
DG0008782	344
DG0004669	341
DG0004796	339
DG0008887	338
DG0008182	337
DG0006318	336
DG0007095	330
DG0000151	330
DG0007424	328
DG0006311	326
DG0002741	324
DG0006297	323
DG0006924	322
DG0008298	321
DG0006089	321
DG0004987	321
DG0005352	319
DG0008157	319
DG0007824	318
DG0001153	317
DG0008060	317
DG0001663	316
DG0004341	315
DG0003182	314
DG0004641	314
DG0004424	312
DG0006636	312
DG0006299	311
DG0006527	311
DG0007537	311
DG0008449	311
DG0001790	311
DG0006053	309
DG0005194	309
DG0006093	308
DG0001373	308
DG0006241	308
DG0003681	308
DG0004661	308
DG0003338	307
DG0007662	306
DG0000694	306
DG0005961	306
DG0004998	306
DG0008487	305
DG0008179	305
DG0007607	305
DG0000059	304
DG0005889	304
DG0001095	304
DG0002383	304
DG0002805	303
DG0008278	302
DG0001903	302
DG0006891	302
DG0007796	301
DG0005925	301
DG0003283	300
DG0007407	300
DG0008263	299
DG0005742	299
DG0006380	298
DG0007683	298
DG0002144	298
DG0007902	298
DG0006403	298
DG0007531	298
DG0005534	297
DG0000535	296
DG0006647	296
DG0007092	296
DG0007203	295
DG0006994	295
DG0006688	295
DG0006231	295
DG0003959	295
DG0005926	294
DG0006571	294
DG0003161	293
DG0000495	292
DG0007180	292
DG0008116	292
DG0000888	291
DG0008822	291
DG0008124	290
DG0005026	290
DG0006646	289
DG0008675	289
DG0002035	289
DG0002062	289
DG0002439	288
DG0008898	288
DG0007543	288
DG0008195	288
DG0005905	288
DG0000071	287
DG0001571	287
DG0006776	287
DG0008508	287
DG0007789	287
DG0007311	287
DG0008485	286
DG0006085	286
DG0002495	286
DG0008862	285
DG0008078	285
DG0002347	285
DG0000598	285
DG0008646	285
DG0002138	284
DG0006150	283
DG0008224	283
DG0001496	283
DG0007689	283
DG0005069	282
DG0002757	282
DG0003613	281
DG0003351	281
DG0007544	281
DG0008142	281
DG0000797	281
DG0001554	280
DG0008814	280
DG0006071	279
DG0003387	279
DG0000841	279
DG0002652	278
DG0003181	278
DG0005413	278
DG0007754	277
DG0007758	277
DG0005643	277
DG0003388	277
DG0007787	276
DG0001096	276
DG0007843	276
DG0008209	276
DG0006657	276
DG0006849	276
DG0004805	276
DG0008303	275
DG0003121	275
DG0008053	275
DG0000373	275
DG0003478	274
DG0005576	274
DG0001196	274
DG0003076	274
DG0008056	274
DG0007455	273
DG0004550	273
DG0006129	273
DG0006192	273
DG0007301	273
DG0007416	272
DG0008230	272
DG0007072	272
DG0000145	272
DG0006585	272
DG0005812	271
DG0000537	271
DG0004759	271
DG0000515	270
DG0007746	270
DG0007035	270
DG0006775	270
DG0007423	270
DG0007250	270
DG0004744	270
DG0007737	270
DG0004184	269
DG0007745	269
DG0002110	269
DG0001241	269
DG0006926	269
DG0003466	269
DG0000029	269
DG0008304	269
DG0007697	268
DG0008647	268
DG0008003	268
DG0007307	268
DG0007728	268
DG0002419	268
DG0007143	268
DG0004016	267
DG0004070	267
DG0003899	267
DG0004278	267
DG0006082	267
DG0003763	267
DG0006451	267
DG0008401	267
DG0003398	266
DG0000999	266
DG0002880	266
DG0008503	266
DG0007919	266
DG0005403	265
DG0007181	264
DG0007086	264
DG0000415	264
DG0002513	264
DG0005428	264
DG0008892	263
DG0005668	263
DG0007781	262
DG0006130	262
DG0000018	262
DG0007210	261
DG0007923	261
DG0005797	261
DG0005934	261
DG0007777	261
DG0008450	261
DG0002085	260
DG0001515	260
DG0001892	260
DG0001525	260
DG0007934	260
DG0002253	259
DG0001022	259
DG0004361	259
DG0008653	259
DG0001120	259
DG0006146	258
DG0004247	258
DG0001322	258
DG0008896	258
DG0004997	258
DG0002997	258
DG0000818	258
DG0004586	258
DG0007468	258
DG0001470	257
DG0008396	257
DG0006288	257
DG0008315	257
DG0008650	257
DG0007804	257
DG0008781	256
DG0001560	256
DG0007165	256
DG0000693	256
DG0000994	256
DG0000885	256
DG0008913	256
DG0006800	256
DG0006538	256
DG0000545	256
DG0007942	256
DG0006394	255
DG0007854	255
DG0001547	255
DG0006496	255
DG0005795	254
DG0002832	254
DG0006250	254
DG0000030	254
DG0005557	254
DG0001792	254
DG0002925	254
DG0003671	253
DG0005667	253
DG0006512	253
DG0001406	253
DG0004658	253
DG0005796	253
DG0008322	252
DG0008739	252
DG0005571	252
DG0000237	252
DG0001103	252
DG0001965	252
DG0002843	252
DG0004854	251
DG0008797	251
DG0007921	251
DG0002987	251
DG0008019	251
DG0007840	251
DG0007500	251
DG0002869	251
DG0008144	251
DG0000597	251
DG0005401	251
DG0002039	250
DG0008854	250
DG0008248	250
DG0004640	250
DG0003801	249
DG0003645	249
DG0007760	249
DG0007085	249
DG0001705	249
DG0008717	249
DG0003914	248
DG0001172	248
DG0002173	248
DG0003784	248
DG0001551	248
DG0001334	248
DG0007703	248
DG0001757	247
DG0001408	247
DG0001885	247
DG0006885	247
DG0006509	247
DG0007742	247
DG0000225	247
DG0001473	247
DG0000519	247
DG0007306	247
DG0008725	247
DG0005297	247
DG0008121	246
DG0008031	246
DG0005559	246
DG0000295	245
DG0008300	245
DG0007079	245
DG0008686	245
DG0002808	245
DG0008491	245
DG0001947	244
DG0000047	244
DG0004018	244
DG0007309	244
DG0000559	244
DG0008001	244
DG0007499	244
DG0007268	244
DG0007126	243
DG0005228	242
DG0000125	242
DG0007913	242
DG0006955	242
DG0008404	241
DG0002967	241
DG0006559	241
DG0000167	241
DG0003312	241
DG0000955	241
DG0002677	241
DG0006748	241
DG0001634	241
DG0007685	241
DG0008796	240
DG0003037	240
DG0007438	240
DG0007673	240
DG0008469	239
DG0005895	239
DG0007061	239
DG0008100	239
DG0008063	239
DG0008166	239
DG0004218	239
DG0004246	239
DG0004891	239
DG0005940	239
DG0007791	238
DG0005661	238
DG0007059	238
DG0006744	238
DG0006514	238
DG0000837	238
DG0008851	238
DG0005470	238
DG0007122	237
DG0002134	237
DG0006784	237
DG0006178	237
DG0004167	237
DG0001045	237
DG0002837	237
DG0000453	237
DG0006661	237
DG0007411	237
DG0001738	237
DG0006603	237
DG0007028	237
DG0007552	236
DG0002965	236
DG0000067	236
DG0000254	236
DG0000163	236
DG0005902	236
DG0007724	236
DG0007706	236
DG0008699	236
DG0006209	236
DG0005757	235
DG0006670	235
DG0001347	235
DG0000189	235
DG0005697	235
DG0006679	235
DG0000122	235
DG0006291	234
DG0006703	234
DG0001450	234
DG0007821	234
DG0006281	234
DG0004522	234
DG0007317	234
DG0005888	234
DG0004828	234
DG0000553	234
DG0008312	234
DG0008234	233
DG0006464	233
DG0003201	233
DG0008499	233
DG0003897	233
DG0003500	233
DG0001919	233
DG0000334	233
DG0007115	233
DG0006492	233
DG0005860	233
DG0007833	233
DG0006239	233
DG0008151	233
DG0001321	233
DG0007093	233
DG0005174	233
DG0003313	232
DG0008139	232
DG0000856	232
DG0000872	232
DG0006459	232
DG0002789	232
DG0007839	232
DG0008261	232
DG0008070	232
DG0000437	232
DG0000413	232
DG0001688	232
DG0004051	231
DG0001023	231
DG0005679	231
DG0007527	231
DG0006916	231
DG0003698	231
DG0001579	231
DG0000395	231
DG0008168	231
DG0008475	231
DG0001910	231
DG0007893	230
DG0006123	230
DG0000427	230
DG0004614	230
DG0007354	230
DG0005524	230
DG0006300	230
DG0007393	230
DG0006203	230
DG0001024	229
DG0007693	229
DG0004738	229
DG0002767	229
DG0004337	229
DG0000015	229
DG0005887	229
DG0003056	229
DG0002973	228
DG0005858	228
DG0003222	228
DG0005916	228
DG0001253	228
DG0000252	228
DG0002399	228
DG0007966	227
DG0006678	227
DG0005996	227
DG0007530	227
DG0005790	227
DG0008186	227
DG0002355	227
DG0002520	227
DG0007220	226
DG0002915	226
DG0008072	226
DG0000813	226
DG0002494	226
DG0006834	226
DG0002114	226
DG0003666	226
DG0001643	226
DG0007509	226
DG0005931	226
DG0005134	226
DG0008185	226
DG0006774	226
DG0003331	226
DG0008763	225
DG0008697	225
DG0002743	225
DG0007930	225
DG0001377	225
DG0000061	225
DG0005997	225
DG0003746	225
DG0001786	225
DG0004152	225
DG0006065	225
DG0001615	224
DG0008738	224
DG0008113	224
DG0004752	224
