	VectorID1
SWAP	374311
SCAFFOLD_MISMATCH	1668
DG0003642	642
DG0007094	568
DG0007039	566
DG0003641	549
DG0008651	536
DG0006651	533
DG0008640	498
DG0006973	495
DG0007122	484
DG0000030	479
DG0005134	478
DG0007061	468
DG0008306	460
DG0007079	455
DG0001534	443
DG0008650	441
DG0005069	439
DG0005194	438
DG0007086	437
DG0007092	435
DG0005228	433
DG0004424	432
DG0006322	432
DG0008491	431
DG0005643	430
DG0008782	430
DG0003784	430
DG0001790	427
DG0000598	425
DG0008720	423
DG0000597	423
DG0007706	415
DG0005282	414
DG0007607	412
DG0000437	410
DG0002035	406
DG0007262	404
DG0000059	404
DG0008712	402
DG0008684	400
DG0002513	399
DG0006994	397
DG0003161	393
DG0006869	391
DG0005195	390
DG0005188	388
DG0008561	388
DG0005123	387
DG0008686	386
DG0008705	385
DG0008887	384
DG0007095	383
DG0007001	380
DG0006924	379
DG0008851	378
DG0008568	378
DG0008748	375
DG0008644	373
DG0008719	372
DG0007035	371
DG0008485	369
DG0002741	367
DG0005075	366
DG0007059	366
DG0002039	363
DG0003021	361
DG0005122	360
DG0008679	356
DG0008646	355
DG0007143	355
DG0008450	355
DG0008370	354
DG0007093	354
DG0005209	353
DG0007098	353
DG0004891	351
DG0008569	351
DG0000809	351
DG0008691	351
DG0008706	350
DG0008717	350
DG0000797	350
DG0006926	349
DG0000589	349
DG0008675	349
DG0003182	348
DG0003900	347
DG0000027	347
DG0008545	347
DG0008822	346
DG0002055	346
DG0002024	345
DG0008878	344
DG0001947	344
DG0003352	344
DG0002843	344
DG0008497	344
DG0007032	343
DG0008647	342
DG0001547	341
DG0008704	341
DG0007085	340
DG0008577	340
DG0008625	340
DG0005026	339
DG0001373	338
DG0007048	338
DG0000955	338
DG0007008	338
DG0006790	338
DG0002495	337
DG0008639	337
DG0001533	336
DG0000189	336
DG0008401	335
DG0002973	335
DG0008784	334
DG0002018	334
DG0000841	333
DG0006955	333
DG0008738	332
DG0003201	332
DG0008814	330
DG0003613	329
DG0007022	328
DG0005174	328
DG0001196	328
DG0002907	328
DG0008124	328
DG0008732	327
DG0007072	326
DG0005140	326
DG0006949	325
DG0006996	325
DG0006857	324
DG0007127	324
DG0001903	324
DG0005534	323
DG0008697	322
DG0008587	322
DG0005428	322
DG0007145	322
DG0008100	321
DG0007038	321
DG0000453	321
DG0000015	320
DG0005058	319
DG0002422	318
DG0007077	317
DG0003351	316
DG0003763	316
DG0008641	316
DG0008298	315
DG0005091	315
DG0008755	315
DG0008322	314
DG0005341	314
DG0008396	314
DG0002652	313
DG0008745	312
DG0005399	312
DG0003181	311
DG0006849	311
DG0007302	311
DG0000936	310
DG0007000	310
DG0000693	309
DG0007172	309
DG0008796	309
DG0005051	308
DG0007087	308
DG0008621	307
DG0006972	306
DG0000618	306
DG0007165	305
DG0003478	305
DG0002715	305
DG0001719	305
DG0000023	304
DG0008560	304
DG0004796	304
DG0001519	304
DG0008660	304
DG0008725	304
DG0007136	303
DG0008475	303
DG0007203	303
DG0000535	302
DG0007170	302
DG0007137	301
DG0008300	301
DG0004911	301
DG0008711	301
DG0000519	300
DG0006916	300
DG0001406	299
DG0007018	299
DG0007011	299
DG0001408	299
DG0008754	299
DG0006959	298
DG0002006	297
DG0007107	297
DG0005150	297
DG0001188	296
DG0008781	296
DG0004981	296
DG0000885	296
DG0008797	296
DG0007041	295
DG0008634	295
DG0005107	295
DG0005137	295
DG0001915	294
DG0007029	294
DG0004854	294
DG0003615	294
DG0000007	294
DG0006984	294
DG0008661	294
DG0005352	294
DG0006966	294
DG0005172	293
DG0008584	293
DG0005196	293
DG0007009	293
DG0001774	292
DG0005470	292
DG0008487	292
DG0001515	292
DG0000252	291
DG0000515	291
DG0002685	291
DG0008874	291
DG0005519	291
DG0001834	291
DG0005197	291
DG0008538	291
DG0001523	291
DG0008303	290
DG0004805	290
DG0007118	290
DG0008397	290
DG0008848	289
DG0007210	289
DG0007131	289
DG0008739	289
DG0005661	289
DG0005557	288
DG0005187	288
DG0007126	288
DG0005551	288
DG0005390	287
DG0005203	287
DG0006989	287
DG0006784	287
DG0008653	286
DG0004893	286
DG0008469	286
DG0007416	286
DG0008688	286
DG0006838	286
DG0001679	285
DG0005099	285
DG0001361	285
DG0007113	285
DG0005487	285
DG0005654	284
DG0003175	284
DG0005571	283
DG0001809	283
DG0000254	282
DG0000061	282
DG0008508	282
DG0007215	281
DG0001846	281
DG0005017	281
DG0008757	281
DG0008605	281
DG0005509	281
DG0001391	281
DG0000581	280
DG0007180	279
DG0007042	279
DG0002426	279
DG0006688	279
DG0006875	278
DG0005186	278
DG0008699	278
DG0002010	277
DG0005574	277
DG0008898	276
DG0008830	276
DG0000433	276
DG0005239	275
DG0008629	275
DG0008676	275
DG0005305	275
DG0000087	275
DG0008449	275
DG0008827	275
DG0001171	275
DG0004152	274
DG0000623	274
DG0001778	273
DG0005394	273
DG0000945	273
DG0008606	273
DG0002418	272
DG0005577	272
DG0004784	272
DG0002439	272
DG0007409	271
DG0002216	271
DG0005189	271
DG0008759	271
DG0005272	271
DG0001792	270
DG0001898	270
DG0000018	270
DG0002016	270
DG0005644	269
DG0007275	269
DG0006368	269
DG0004940	269
DG0002655	269
DG0007067	269
DG0000081	269
DG0007040	269
DG0005062	268
DG0008733	268
DG0008572	268
DG0007071	268
DG0001522	268
DG0008698	268
DG0006933	268
DG0001496	267
DG0008527	267
DG0003645	267
DG0007220	267
DG0002356	267
DG0007050	267
DG0007115	267
DG0003066	266
DG0001377	266
DG0008477	266
DG0005493	266
DG0005241	266
DG0000791	266
DG0005144	266
DG0000765	265
DG0005061	265
DG0005096	265
DG0000541	265
DG0001920	264
DG0001923	264
DG0008580	264
DG0000237	264
DG0004998	264
DG0002419	264
DG0005236	264
DG0004953	263
DG0001180	263
DG0008263	263
DG0000804	263
DG0008695	263
DG0008665	262
DG0008534	262
DG0007031	262
DG0004828	262
DG0008558	261
DG0001527	261
DG0008893	261
DG0000530	261
DG0008854	261
DG0007045	261
DG0008900	261
DG0006957	261
DG0008749	261
DG0008304	260
DG0001986	260
DG0001507	260
DG0008829	260
DG0000663	260
DG0006965	260
DG0002430	260
DG0000577	260
DG0001229	260
DG0007064	259
DG0001700	259
DG0005322	259
DG0008563	259
DG0006775	259
DG0005117	259
DG0006954	258
DG0000114	258
DG0006883	257
DG0007164	257
DG0000053	256
DG0001334	256
DG0001965	256
DG0006776	256
DG0002716	255
DG0005650	255
DG0000987	255
DG0008332	255
DG0008764	255
DG0005559	254
DG0008387	254
DG0005537	254
DG0008896	254
DG0007545	253
DG0006834	253
DG0001035	253
DG0004987	253
DG0005546	253
DG0001241	253
DG0006885	253
DG0007301	253
DG0003343	253
DG0003931	253
DG0008614	253
DG0005138	252
DG0005625	252
DG0001822	252
DG0002882	252
DG0001966	252
DG0008913	252
DG0000587	252
DG0005535	252
DG0007261	252
DG0005363	251
DG0000682	251
DG0004275	251
DG0005110	251
DG0003067	251
DG0007049	251
DG0001443	251
DG0002514	250
DG0008789	250
DG0001103	250
DG0000445	250
DG0005104	250
DG0008472	249
DG0001490	249
DG0005224	249
DG0003388	249
DG0008438	249
DG0002002	249
DG0000527	249
DG0008620	249
DG0002463	248
DG0001403	248
DG0008867	248
DG0005940	248
DG0005453	248
DG0002494	248
DG0002955	248
DG0005679	247
DG0002279	247
DG0007010	247
DG0005247	247
DG0002832	247
DG0001784	247
DG0005408	247
DG0006783	246
DG0006758	246
DG0005504	246
DG0008696	246
DG0008852	246
DG0002037	245
DG0003069	245
DG0000585	245
DG0007034	245
DG0005039	245
DG0000676	245
DG0008773	245
DG0008815	245
DG0000443	244
DG0002051	244
DG0007089	244
DG0000126	244
DG0007673	244
DG0008624	244
DG0003500	244
DG0000334	243
DG0005219	243
DG0005637	243
DG0008365	243
DG0006789	243
DG0005065	243
DG0005401	243
DG0003183	243
DG0005012	243
DG0000454	243
DG0008307	243
DG0008503	243
DG0008683	243
DG0001810	243
DG0005082	243
DG0000455	242
DG0001715	242
DG0000990	242
DG0001663	242
DG0001235	242
DG0005164	242
DG0006822	242
DG0005183	242
DG0003897	242
DG0003599	242
DG0006689	241
DG0000888	241
DG0001116	241
DG0001473	241
DG0003459	241
DG0003778	241
DG0001495	241
DG0005601	240
DG0008573	240
DG0003744	240
DG0005573	240
DG0004882	240
DG0000784	240
DG0006694	240
DG0008434	240
DG0000029	240
DG0007552	240
DG0005540	240
DG0005181	239
DG0005229	239
DG0001728	239
DG0005127	239
DG0008758	239
DG0008617	239
DG0005464	239
DG0005079	239
DG0008868	239
DG0000043	239
DG0002520	239
DG0002519	239
DG0001144	239
DG0005184	238
DG0008602	238
DG0006980	238
DG0004614	238
DG0008566	238
DG0005214	238
DG0002523	238
DG0002475	238
DG0005381	238
DG0001909	238
DG0000373	237
DG0002646	237
DG0001392	237
DG0008314	237
DG0002050	237
DG0005556	237
DG0000249	237
DG0007054	237
DG0000673	236
DG0007168	236
DG0005596	236
DG0003387	236
DG0000786	236
DG0005057	236
DG0001379	236
DG0005421	236
DG0008361	236
DG0000047	235
DG0005555	235
DG0003463	235
DG0001579	235
DG0000617	235
DG0002932	235
DG0002052	235
DG0006983	235
DG0000173	235
DG0001770	235
DG0000215	234
DG0001530	234
DG0005136	234
DG0002587	234
DG0007026	234
DG0007317	233
DG0000449	233
DG0008631	233
DG0003791	233
DG0001919	233
DG0005313	233
DG0008666	233
DG0000057	233
DG0005543	233
DG0008465	233
DG0003438	232
DG0005334	232
DG0007101	232
DG0008278	232
DG0005403	232
DG0002027	232
DG0003001	232
DG0001513	232
DG0007052	232
DG0001643	231
DG0008664	231
DG0008862	231
DG0002347	231
DG0008338	231
DG0008817	230
DG0000845	230
DG0000441	230
DG0002575	230
DG0008581	230
DG0000442	230
DG0006950	230
DG0002931	230
DG0000415	230
DG0004118	229
DG0006744	229
DG0006964	229
DG0008525	229
DG0007020	229
DG0008911	229
DG0002866	229
DG0001159	229
DG0001421	229
DG0005452	229
DG0008337	229
DG0001813	229
DG0006756	228
DG0000749	228
DG0008709	228
DG0006948	228
DG0001471	228
DG0002033	228
DG0001990	228
DG0000005	228
DG0003522	228
DG0007235	228
DG0005243	228
DG0008384	228
DG0000594	227
DG0007028	227
DG0007292	227
DG0008668	227
DG0005083	227
DG0005223	227
DG0005161	227
DG0005071	226
DG0005070	226
DG0000721	226
DG0000253	226
DG0005067	226
DG0005291	226
DG0001481	226
DG0006512	226
DG0005213	226
DG0002633	226
DG0001414	226
DG0005607	226
DG0006879	225
DG0002041	225
DG0000296	225
DG0003898	224
DG0006845	224
DG0008763	224
DG0003628	224
DG0000733	224
DG0001935	224
DG0008743	224
DG0002967	224
DG0007221	224
DG0002036	224
DG0002503	224
DG0005362	223
DG0008499	223
DG0007081	223
DG0000994	223
DG0008612	223
DG0008579	223
DG0002698	223
DG0007754	223
DG0008424	223
DG0000446	223
DG0001821	223
DG0002729	223
DG0000792	222
DG0007202	222
DG0004967	222
DG0007142	222
DG0005151	222
DG0008166	222
DG0007004	222
DG0006975	222
DG0006971	222
DG0008496	222
DG0000234	222
DG0003338	222
DG0005016	222
DG0004656	221
DG0006956	221
DG0005876	221
DG0006970	221
DG0001398	221
DG0001525	221
DG0000694	221
DG0006699	221
DG0006910	221
DG0002284	221
DG0002053	221
DG0004877	221
DG0006791	221
DG0001453	220
DG0001374	220
DG0000169	220
DG0000513	220
DG0008693	220
DG0008723	220
DG0008501	220
DG0007146	220
DG0000456	219
DG0005095	219
DG0005130	219
DG0001786	219
DG0002044	219
DG0002547	219
DG0002011	219
DG0002469	219
DG0005202	219
DG0007070	219
DG0007226	219
DG0007152	219
DG0006233	219
DG0000981	219
DG0003738	219
DG0000536	219
DG0002987	219
DG0000093	218
DG0001931	218
DG0008296	218
DG0000376	218
DG0005274	218
DG0002355	218
DG0005651	218
DG0006803	218
DG0000041	218
DG0003466	218
DG0005407	218
DG0006831	218
DG0002435	217
DG0008904	217
DG0006710	217
DG0001172	217
DG0002871	217
DG0001599	217
DG0008692	217
DG0000451	217
DG0006840	217
DG0008643	217
DG0001917	216
DG0006394	216
DG0007160	216
DG0000837	216
DG0003671	216
DG0005552	216
DG0003339	216
DG0000728	216
DG0005337	216
DG0001815	215
DG0000522	215
DG0008466	215
DG0007100	215
DG0007200	215
DG0000725	215
DG0005245	215
DG0004860	215
DG0008844	215
DG0002004	215
DG0000295	215
DG0001910	214
DG0004658	214
DG0008540	214
DG0007150	214
DG0005446	214
DG0005049	214
DG0000769	214
DG0002047	214
DG0000035	214
DG0006908	213
DG0005742	213
DG0003174	213
DG0001914	213
DG0007161	213
DG0008678	213
DG0008843	213
DG0008736	213
DG0003637	213
DG0000256	213
DG0001782	213
DG0000703	213
DG0005536	213
DG0000185	213
DG0005222	213
DG0000776	213
DG0008392	212
DG0001595	212
DG0000125	212
