	VectorID1
SWAP	445658
SCAFFOLD_MISMATCH	2537
DG0003642	693
DG0008706	636
DG0005194	627
DG0007094	626
DG0008651	623
DG0008887	595
DG0008647	591
DG0007039	590
DG0005134	572
DG0005069	571
DG0003182	561
DG0006973	560
DG0008650	550
DG0000597	545
DG0000589	528
DG0008782	526
DG0007095	515
DG0003613	500
DG0003641	499
DG0005470	499
DG0008491	497
DG0002035	496
DG0007079	496
DG0000059	493
DG0002495	484
DG0003161	479
DG0005172	472
DG0007086	465
DG0006994	461
DG0001525	461
DG0007072	459
DG0007022	459
DG0007607	457
DG0005075	457
DG0005557	457
DG0001534	454
DG0008640	452
DG0005679	449
DG0008561	445
DG0003181	445
DG0007093	445
DG0008646	441
DG0006688	438
DG0003201	438
DG0007706	436
DG0005643	435
DG0008739	434
DG0007035	434
DG0002843	433
DG0008475	433
DG0005122	432
DG0001903	432
DG0000945	432
DG0008306	431
DG0005137	430
DG0007092	430
DG0004981	429
DG0002513	425
DG0008686	424
DG0004424	424
DG0006869	423
DG0004796	422
DG0007131	422
DG0006322	422
DG0007145	422
DG0007220	420
DG0005026	420
DG0008298	420
DG0008822	419
DG0000018	418
DG0001171	417
DG0007126	417
DG0002439	415
DG0008725	415
DG0008322	413
DG0005571	413
DG0008625	412
DG0008699	412
DG0000007	412
DG0002955	412
DG0000598	411
DG0006849	410
DG0008605	407
DG0000005	405
DG0007085	405
DG0008656	404
DG0001103	403
DG0008691	401
DG0008720	401
DG0008719	400
DG0008621	398
DG0008664	397
DG0008660	396
DG0008527	395
DG0000023	394
DG0007082	394
DG0000029	394
DG0007143	392
DG0001915	392
DG0000585	392
DG0007122	391
DG0003021	390
DG0007118	389
DG0006790	389
DG0002006	389
DG0008675	388
DG0008560	388
DG0005661	388
DG0007040	387
DG0000618	387
DG0001792	386
DG0008572	386
DG0008705	385
DG0003784	385
DG0006972	385
DG0002347	384
DG0008497	384
DG0003900	384
DG0000999	384
DG0007001	384
DG0008568	384
DG0003351	382
DG0001408	382
DG0006926	382
DG0005352	381
DG0007203	381
DG0000582	381
DG0007008	380
DG0008332	379
DG0007302	379
DG0006651	379
DG0007127	378
DG0002036	378
DG0000694	377
DG0001938	377
DG0007010	376
DG0006879	376
DG0005150	375
DG0008584	375
DG0007673	375
DG0008698	374
DG0008401	374
DG0003478	374
DG0008450	373
DG0001533	373
DG0005577	373
DG0005596	373
DG0000519	373
DG0007054	373
DG0008300	371
DG0007061	371
DG0000515	370
DG0007215	370
DG0005161	370
DG0008666	370
DG0008579	369
DG0007045	369
DG0006875	369
DG0007077	368
DG0005534	368
DG0008653	368
DG0001406	367
DG0004939	367
DG0005103	367
DG0004891	366
DG0000061	365
DG0005363	365
DG0001790	365
DG0008538	365
DG0008753	364
DG0000145	364
DG0000786	364
DG0001473	363
DG0000030	363
DG0007108	363
DG0005188	363
DG0005428	363
DG0006955	362
DG0008620	362
DG0008896	362
DG0008634	361
DG0000454	361
DG0007172	361
DG0008503	361
DG0005684	360
DG0008545	360
DG0003763	360
DG0005282	360
DG0005200	360
DG0002419	359
DG0002024	359
DG0008745	359
DG0008854	358
DG0000015	358
DG0005228	357
DG0008688	355
DG0006954	354
DG0001791	354
DG0006989	353
DG0000797	352
DG0006924	352
DG0006789	352
DG0001192	351
DG0007098	351
DG0008661	351
DG0004860	351
DG0005543	350
DG0001923	350
DG0002652	350
DG0000189	350
DG0007137	350
DG0000936	349
DG0003066	349
DG0000435	349
DG0008641	348
DG0005305	347
DG0008631	347
DG0006775	346
DG0005510	345
DG0007029	345
DG0000081	344
