	VectorID1
SWAP	339055
SCAFFOLD_MISMATCH	1887
DG0008071	343
DG0008497	338
DG0005820	324
DG0006651	320
DG0003642	320
DG0006322	319
DG0007452	315
DG0000845	308
DG0001063	308
DG0006973	305
DG0001790	290
DG0003614	289
DG0008651	288
DG0000598	284
DG0007690	283
DG0008450	283
DG0001116	274
DG0007180	273
DG0007409	272
DG0007095	272
DG0001534	270
DG0007689	268
DG0006311	267
DG0004493	265
DG0008306	265
DG0003613	263
DG0008157	263
DG0007468	261
DG0002495	260
DG0004641	259
DG0003161	258
DG0005699	258
DG0008887	258
DG0001241	258
DG0006411	257
DG0008706	255
DG0008782	252
DG0006085	251
DG0006875	251
DG0006053	250
DG0007039	250
DG0007467	249
DG0002965	249
DG0003387	249
DG0007543	248
DG0007424	248
DG0005282	247
DG0003283	246
DG0007301	246
DG0003645	246
DG0005352	246
DG0002843	246
DG0008545	246
DG0008060	245
DG0006093	245
DG0000145	244
DG0006869	244
DG0000809	242
DG0006916	241
DG0006924	241
DG0005134	241
DG0008186	239
DG0004184	239
DG0007758	239
DG0001571	238
DG0004796	238
DG0004658	238
DG0004424	238
DG0000999	237
DG0007728	236
DG0005907	236
DG0000563	235
DG0008640	235
DG0007531	235
DG0006512	234
DG0005889	234
DG0002837	234
DG0004661	234
DG0006849	234
DG0004341	233
DG0002156	233
DG0002805	233
DG0008003	233
DG0005905	233
DG0008151	233
DG0008508	232
DG0001554	232
DG0007262	231
DG0004828	231
DG0007203	231
DG0005811	231
DG0006299	230
DG0008126	230
DG0004167	230
DG0000541	230
DG0000597	229
DG0007934	228
DG0006647	228
DG0007397	227
DG0004278	227
DG0003409	227
DG0008124	226
DG0008298	225
DG0000888	225
DG0007094	225
DG0006318	224
DG0008449	223
DG0008179	223
DG0001525	223
DG0007781	223
DG0007423	222
DG0006646	222
DG0002652	222
DG0007662	222
DG0001757	222
DG0000189	221
DG0007683	221
DG0001378	221
DG0003182	221
DG0005194	220
DG0002347	220
DG0000495	220
DG0002110	219
DG0007840	219
DG0002356	219
DG0007079	219
DG0003181	218
DG0008711	218
DG0000589	218
DG0006380	218
DG0006150	218
DG0008892	217
DG0007509	217
DG0000437	216
DG0003312	216
DG0006994	216
DG0007307	216
DG0002062	215
DG0006146	215
DG0008121	215
DG0000663	214
DG0007796	214
DG0000453	214
DG0007407	214
DG0006451	214
DG0002967	214
DG0001615	214
DG0006089	214
