	VectorID1
SWAP	378967
SCAFFOLD_MISMATCH	2585
DG0008497	386
DG0008071	365
DG0006322	356
DG0005820	353
DG0006651	352
DG0003642	346
DG0001063	340
DG0006973	340
DG0007452	339
DG0000845	335
DG0003614	321
DG0001790	318
DG0000598	314
DG0008651	313
DG0007180	310
DG0007409	304
DG0007690	304
DG0001534	302
DG0008450	302
DG0008157	296
DG0006311	296
DG0007095	294
DG0001116	292
DG0007468	289
DG0007039	289
DG0008306	289
DG0006875	289
DG0007689	287
DG0000145	287
DG0006085	286
DG0002495	285
DG0005699	285
DG0006411	285
DG0008887	285
DG0004493	284
DG0003613	283
DG0004641	281
DG0008782	280
DG0006053	279
DG0006093	279
DG0008706	277
DG0001241	277
DG0007424	277
DG0006869	277
DG0003161	275
DG0007467	275
DG0008060	274
DG0003387	272
DG0002843	272
DG0007758	271
DG0005282	271
DG0002965	270
DG0007301	269
DG0005352	269
DG0004796	268
DG0004424	268
DG0008545	266
DG0003645	266
DG0001571	266
DG0006924	266
DG0007423	265
DG0005905	264
DG0003283	264
DG0006849	263
DG0007203	263
DG0007543	262
DG0007094	261
DG0004341	261
DG0008186	260
DG0001554	260
DG0003409	260
DG0004184	260
DG0000563	260
DG0005134	260
DG0007934	259
DG0006647	259
DG0002805	259
DG0004658	258
DG0000809	258
DG0002837	258
DG0005889	257
DG0007531	257
DG0002652	257
DG0006916	257
DG0007262	257
DG0008508	256
DG0000888	255
DG0008179	255
DG0006512	254
DG0002156	254
DG0000541	254
DG0000999	254
DG0008640	254
DG0005907	253
DG0007683	253
DG0008126	252
DG0008151	251
DG0007728	251
DG0005811	251
DG0006299	251
DG0001525	250
DG0000597	249
DG0006451	249
DG0002347	248
DG0000663	248
DG0008298	248
DG0004661	248
DG0007079	247
DG0006380	247
DG0007397	246
DG0004828	246
DG0000589	245
DG0008892	245
DG0007781	245
DG0001378	245
DG0008003	245
DG0002439	243
DG0006089	243
DG0008124	243
DG0004167	242
DG0000495	242
DG0000437	242
DG0003181	242
DG0005194	242
DG0008449	241
DG0006318	241
DG0007438	240
DG0006636	240
DG0007662	240
DG0002062	240
DG0001757	240
DG0006994	239
DG0006150	239
DG0002018	239
DG0006146	239
DG0007840	239
DG0008711	238
DG0005885	238
DG0000453	238
