	VectorID1
SWAP	180557
SCAFFOLD_MISMATCH	1169
DG0005493	484
DG0006411	440
DG0001757	435
DG0006366	430
DG0006994	430
DG0005820	430
DG0005925	429
DG0007039	409
DG0006089	402
DG0003642	399
DG0003641	393
DG0007468	393
DG0008651	392
DG0006875	388
DG0006651	385
DG0007452	384
DG0004535	384
DG0007683	384
DG0005940	382
DG0007079	379
DG0008126	378
DG0006322	377
DG0005699	377
DG0005961	377
DG0007419	375
DG0006380	374
DG0003614	372
DG0003835	371
DG0005800	371
DG0007095	369
DG0004337	367
DG0006647	366
DG0004547	366
DG0001373	366
DG0006053	366
DG0008683	362
DG0004424	362
DG0008497	360
DG0007438	359
DG0005811	358
DG0008496	358
DG0000030	358
DG0006869	357
DG0007607	356
DG0004576	355
DG0007531	353
DG0000059	352
DG0007428	351
DG0001321	349
DG0006220	349
DG0004184	347
DG0007837	347
DG0004247	346
DG0004051	346
DG0003002	346
DG0008538	345
DG0004669	345
DG0006311	345
DG0006002	345
DG0000029	344
DG0004322	344
DG0006469	343
DG0007455	343
DG0008640	342
DG0006661	341
DG0007072	341
DG0004828	340
DG0006550	339
DG0006571	339
DG0001885	338
DG0006544	338
DG0003283	338
DG0006036	338
DG0008666	338
DG0003338	337
DG0007094	337
DG0005069	336
DG0001063	336
DG0008720	336
DG0002965	335
DG0006527	335
DG0006973	335
DG0004641	335
DG0003186	334
DG0001738	333
DG0007203	333
DG0005194	333
DG0006022	332
DG0001541	332
DG0006319	332
DG0004167	331
DG0000005	330
DG0001571	329
DG0005172	329
DG0003331	329
DG0003201	329
DG0002889	329
DG0006607	328
DG0008224	328
DG0005826	327
DG0006297	327
DG0003595	327
DG0004806	326
DG0005534	326
DG0004854	326
DG0000145	325
DG0006872	325
DG0000130	325
DG0000936	324
DG0003928	324
DG0001892	324
DG0008097	324
DG0008157	323
DG0006585	323
DG0005889	322
DG0008306	322
DG0004173	322
DG0007085	321
DG0000809	321
DG0004640	321
DG0005123	321
DG0006291	320
DG0005905	320
DG0007530	319
DG0006178	319
DG0004744	319
DG0001534	319
DG0006667	319
DG0002757	319
DG0008797	318
DG0002741	318
DG0006082	318
DG0003387	318
DG0004586	317
DG0001549	317
DG0007552	316
DG0006972	316
DG0000984	316
DG0003681	315
DG0002513	314
DG0006071	314
DG0003784	314
DG0008706	314
DG0003522	314
DG0006451	313
DG0003314	313
DG0005297	313
DG0007397	313
DG0002057	312
DG0004661	312
DG0006445	312
DG0002967	312
DG0006924	312
DG0006403	312
DG0008748	312
DG0004341	312
DG0001473	312
DG0007071	311
DG0005122	311
DG0005926	311
DG0005816	311
DG0008449	311
DG0000495	311
DG0004091	311
DG0003409	310
DG0007088	310
DG0007059	310
DG0006093	309
DG0005186	309
DG0005906	309
DG0002894	309
DG0008053	308
DG0008179	308
DG0004997	308
DG0006225	308
DG0007045	308
DG0006834	308
DG0007070	307
DG0004108	306
DG0003645	306
DG0004796	306
DG0005974	306
DG0005243	306
DG0003415	305
DG0002006	305
DG0007827	305
DG0005954	305
DG0007978	304
DG0005807	304
DG0002743	304
DG0000023	303
DG0006299	303
DG0001790	303
DG0006492	303
DG0007689	303
DG0004513	303
DG0006300	303
DG0004077	303
DG0002347	302
DG0008568	302
DG0002328	302
DG0000999	302
DG0002924	302
DG0002144	301
DG0004987	301
DG0001525	301
DG0003671	301
DG0006708	301
DG0001537	301
DG0008342	300
DG0007475	300
DG0007690	299
DG0004101	299
DG0008105	299
DG0004491	299
DG0000818	299
DG0007958	298
DG0005107	298
DG0002979	298
DG0007307	298
DG0007010	298
DG0003412	297
DG0006980	297
DG0007662	296
DG0006957	296
DG0004762	296
DG0001421	296
DG0004726	296
DG0005058	296
DG0007500	295
DG0005790	295
DG0000151	295
DG0008160	295
DG0006233	294
DG0007781	294
DG0000006	294
DG0005643	293
DG0007992	293
DG0002843	293
DG0005026	293
DG0001554	293
DG0005282	293
DG0008071	293
DG0003161	293
DG0007537	293
DG0008298	293
DG0006926	292
DG0006085	292
DG0002914	292
DG0007022	292
DG0007467	292
DG0006881	292
DG0003959	292
DG0007345	292
DG0006603	291
DG0005173	291
DG0007092	291
DG0006129	291
DG0006954	290
DG0005082	290
DG0007143	290
DG0001801	290
DG0002837	290
DG0006538	290
DG0003466	290
DG0005551	290
DG0004633	290
DG0006950	289
DG0007673	289
DG0007902	289
DG0004278	289
DG0008450	289
DG0004348	289
DG0008144	289
DG0005413	288
DG0006558	288
DG0003478	288
DG0006509	288
