	VectorID1
SWAP	199045
SCAFFOLD_MISMATCH	1799
DG0005493	512
DG0006411	473
DG0005925	472
DG0006366	467
DG0001757	466
DG0005820	460
DG0006994	458
DG0007039	446
DG0006089	443
DG0003642	426
DG0006651	424
DG0003641	423
DG0007452	419
DG0006322	416
DG0008651	414
DG0007079	413
DG0006875	413
DG0007683	412
DG0004535	412
DG0007468	408
DG0005940	406
DG0006380	405
DG0005800	405
DG0007419	402
DG0003835	401
DG0005699	400
DG0006647	398
DG0000030	396
DG0007438	395
DG0006053	395
DG0004337	395
DG0008126	395
DG0003002	394
DG0005961	394
DG0007203	394
DG0003614	394
DG0008497	393
DG0008683	391
DG0007095	390
DG0001373	389
DG0006869	388
DG0004424	387
DG0000130	385
DG0004576	385
DG0008496	384
DG0006220	383
DG0004547	383
DG0006002	382
DG0007837	382
DG0004247	381
DG0005811	380
DG0006973	379
DG0006469	378
DG0006571	378
DG0000059	377
DG0007607	376
DG0007531	375
DG0004184	373
DG0007428	372
DG0005194	371
DG0004322	371
DG0006550	370
DG0006311	369
DG0004828	369
DG0006661	368
DG0003338	367
DG0001321	367
DG0006607	367
DG0008640	366
DG0007455	366
DG0004641	366
DG0004051	365
DG0000029	365
DG0006036	363
DG0006544	363
DG0008224	363
DG0003201	363
DG0003331	363
DG0007072	362
DG0008666	362
DG0001885	362
DG0008097	361
DG0007094	361
DG0008538	361
DG0002965	360
DG0000145	360
DG0001063	359
DG0006022	359
DG0003186	358
DG0004669	358
DG0008720	358
DG0001541	358
DG0000936	357
DG0001738	357
DG0005172	357
DG0003283	356
DG0002889	355
DG0006527	355
DG0005889	355
DG0006872	354
DG0006291	353
DG0005069	353
DG0005826	352
DG0005905	352
DG0008157	352
DG0004167	351
DG0008306	351
DG0000005	351
DG0003928	351
DG0007085	350
DG0006319	349
DG0006082	349
DG0000495	349
DG0003784	349
DG0001892	349
DG0001549	348
DG0004341	348
DG0001571	348
DG0004854	348
DG0003595	347
DG0004744	347
DG0005534	346
DG0002057	346
DG0003387	346
DG0006585	346
DG0008797	346
DG0005122	345
DG0000984	345
DG0004640	345
DG0004173	343
DG0004806	343
DG0006297	343
DG0006667	343
DG0006445	343
DG0006178	343
DG0002741	343
DG0002967	343
DG0002757	342
DG0000809	342
DG0005123	341
DG0007071	341
DG0004661	341
DG0005186	340
DG0001473	340
DG0005816	340
DG0007530	340
DG0004586	340
DG0002743	340
DG0008449	339
DG0008706	338
DG0008053	338
DG0007689	338
DG0007552	337
DG0005906	337
DG0003681	337
DG0006403	337
DG0003415	337
DG0003409	336
DG0001534	336
DG0006924	336
DG0007070	336
DG0007397	336
DG0008179	335
DG0004091	335
DG0005297	335
DG0002513	335
DG0006451	335
DG0007827	334
DG0003314	334
DG0002144	333
DG0004997	333
DG0002894	333
DG0008748	333
DG0005243	333
DG0006972	333
DG0006093	332
DG0006071	331
DG0006492	331
DG0005926	331
DG0003645	331
DG0007088	330
DG0003522	330
DG0007978	330
DG0007059	330
DG0006300	330
DG0008160	329
DG0008342	329
DG0005954	329
DG0006225	328
DG0000023	328
DG0007662	327
DG0007045	326
DG0005974	325
DG0001790	325
DG0005173	325
DG0005026	325
DG0006834	325
DG0002347	325
DG0007992	324
DG0001537	324
DG0003671	324
DG0007010	324
DG0001525	324
DG0002924	323
DG0002805	323
DG0000999	323
DG0007475	323
DG0003161	323
DG0007307	323
DG0004513	322
DG0004726	322
DG0004108	322
DG0003412	321
DG0006926	321
DG0004101	321
DG0007537	321
DG0006129	321
DG0004987	321
DG0006299	321
DG0005058	321
DG0004077	320
DG0002328	320
DG0004762	320
DG0008144	320
DG0005807	320
DG0006509	320
DG0005107	319
DG0007345	319
DG0004796	319
DG0005643	318
DG0000818	318
DG0002006	318
DG0008568	318
DG0007092	318
DG0002383	318
DG0005282	317
DG0001554	317
DG0005790	317
DG0007500	316
DG0008887	316
DG0000006	316
DG0007902	316
DG0003162	316
DG0007673	316
DG0008071	316
DG0001421	315
DG0001022	315
DG0003466	315
DG0002914	315
DG0006603	315
DG0005551	315
DG0006708	315
DG0008078	314
DG0006553	314
DG0000427	314
DG0003478	314
DG0004633	314
DG0002843	314
DG0008019	314
DG0000151	314
DG0005885	313
DG0007958	313
DG0008105	313
DG0008278	313
DG0007690	313
DG0005082	313
DG0003917	313
DG0007022	313
DG0004097	312
DG0002979	312
DG0006538	312
DG0004491	312
DG0004058	312
DG0003959	312
DG0003141	312
DG0006980	311
DG0003224	311
DG0003385	311
DG0006957	311
DG0006233	311
DG0008298	311
DG0006085	311
DG0008577	311
DG0008450	311
DG0007781	311
DG0006288	311
DG0000027	311
DG0008696	310
DG0006881	309
DG0001103	309
DG0006318	309
DG0007143	309
DG0007467	309
DG0008822	309
DG0003812	309
DG0006950	309
DG0001801	309
DG0004587	308
DG0004418	308
DG0008499	308
DG0007165	308
DG0003615	308
DG0004302	308
DG0002837	308
DG0006954	307
DG0005996	307
DG0005702	307
DG0008469	307
DG0001008	307
DG0001551	307
DG0005413	307
DG0005552	306
DG0004278	306
DG0008782	306
DG0003398	306
DG0002078	306
DG0007145	306
DG0006964	306
DG0005813	305
DG0006501	305
DG0006479	305
DG0004435	305
DG0004040	305
DG0004348	305
DG0006433	305
DG0003066	304
DG0004953	304
DG0000122	304
DG0002085	304
DG0002997	304
DG0000945	304
DG0007687	304
DG0008892	304
DG0006558	304
DG0002110	303
DG0002062	303
DG0000490	303
DG0000682	303
DG0007826	303
DG0007561	302
DG0001515	302
DG0000022	302
DG0000456	302
DG0002568	302
DG0006919	302
DG0007301	302
DG0005815	302
DG0004663	302
DG0005902	301
DG0002039	301
DG0006531	301
DG0007294	301
DG0007084	301
DG0005174	301
DG0000085	301
DG0007789	300
DG0007923	300
DG0001347	300
DG0005197	300
DG0007210	300
DG0007262	300
DG0004421	299
DG0004048	299
DG0005781	299
DG0006023	299
DG0005742	299
DG0004142	299
DG0002913	299
DG0005209	299
DG0000134	299
DG0004799	298
DG0005892	298
DG0002495	298
DG0001634	298
DG0007758	298
DG0002065	298
DG0003896	298
DG0007760	298
DG0005667	297
DG0007077	297
DG0002677	297
DG0006346	297
DG0003320	297
DG0008753	297
DG0000845	297
DG0004345	297
DG0007824	297
DG0006130	297
DG0005668	297
DG0005464	297
DG0007302	297
DG0007568	297
DG0000018	297
DG0005796	297
DG0006849	296
DG0000071	296
DG0002138	296
DG0003173	296
DG0008056	296
DG0005997	296
DG0004998	296
DG0008089	296
DG0001176	295
DG0008691	295
DG0006674	295
DG0004893	295
DG0008697	295
DG0002035	295
DG0006426	295
DG0007089	295
DG0007429	295
DG0004188	295
DG0000015	294
DG0000007	294
DG0006017	294
DG0006449	294
DG0007409	294
DG0008312	294
DG0002723	294
DG0005625	293
DG0008003	293
DG0008606	293
DG0005228	293
DG0007122	293
DG0007640	293
DG0002910	293
DG0005203	293
DG0005540	293
DG0003547	293
DG0003514	292
DG0001411	292
DG0003946	292
DG0008647	292
DG0005794	292
DG0007101	292
DG0006596	292
DG0003502	292
DG0002691	291
DG0005305	291
DG0006056	291
DG0000708	291
DG0006438	291
DG0007833	290
DG0007543	290
DG0001734	290
DG0006688	290
DG0008182	290
DG0005221	290
DG0004179	290
DG0005887	290
DG0001496	290
DG0001705	290
DG0004643	289
DG0000395	289
DG0007215	289
DG0001322	289
DG0007934	289
DG0004603	289
DG0006803	289
DG0006250	289
DG0007180	289
DG0006231	289
DG0006192	288
DG0008545	288
DG0005134	288
DG0001767	288
DG0006838	288
DG0000066	288
DG0005937	288
DG0003559	288
DG0004413	288
DG0008371	288
DG0007220	288
DG0003500	288
DG0004793	288
DG0002966	287
DG0002405	287
DG0007087	287
DG0006477	287
DG0008400	287
DG0000345	287
DG0003883	287
DG0000238	287
DG0005934	287
DG0000994	287
DG0006788	287
DG0005271	286
DG0003735	286
DG0005814	286
DG0006783	286
DG0000437	286
DG0005166	286
DG0004837	286
DG0008230	286
DG0000694	286
DG0003312	286
DG0003167	286
DG0007086	286
DG0001334	285
DG0004523	285
DG0002687	285
DG0006776	285
DG0006198	285
DG0003295	285
DG0007098	285
DG0006677	285
