Gene1,Gene2,Scaffold,PILOT_100X_D14,PILOT_500X_D14,PILOT_PCR500X_D14
ACTL6A,NONTARGETING,Modified6,-1.7929229356461711,-2.41232338435851,-2.061227469112212
ACTR6,NONTARGETING,Modified6,-0.9206548844161884,-1.0279526687972678,-1.159360825300943
ADAM2,KIF2B,Modified6,-0.7954323261105043,-0.7541286706439949,-0.7132813545205124
ALYREF,NONTARGETING,Modified6,-2.9555361415255117,-2.333496382889978,-2.251985978128551
ANAPC4,NONTARGETING,Modified6,-1.3608194424102809,-1.6246198002891963,-1.1593176142135206
ANAPC5,NONTARGETING,Modified6,-5.051053492138125,-3.153345264783054,-3.199339206018327
ANKRD30A,DEFB123,Modified6,0.3674253940120652,0.555350069824556,0.43379861200718617
ANTXRL,TSPY1,Modified6,1.1863830820871593,1.0449285915210638,1.100152505837365
AP2S1,INTERGENIC,Modified6,-0.45892392732061904,-0.8647595907017152,-1.096048294789797
ARCN1,NONTARGETING,Modified6,-1.4430667557340322,-1.056544330895775,-1.445596420109993
ASB17,OPALIN,Modified6,0.6897605531796738,0.41605618239536307,0.48627819221346386
ATP6V0D1,NONTARGETING,Modified6,-2.131737332416598,-1.6511124771886743,-2.3043582790164474
ATP6V1G3,IL3,Modified6,0.562670435222625,0.8401891958029153,0.782956478106401
BIRC8,CSN2,Modified6,0.877167223086635,0.5798584762879941,0.8339655823181913
BMP10,LYZL2,Modified6,0.7475052823771884,0.8493223004065652,0.7330734591945788
BOP1,NONTARGETING,Modified6,-1.7243147489131219,-1.710324681851565,-1.8583596898258197
BPIFC,SSX3,Modified6,0.40632095114300937,0.20113146358764808,0.3339994094614523
BRIX1,NONTARGETING,Modified6,-0.7994489193610274,-0.6501915588948542,-0.6509120715363275
BSND,CDCP2,Modified6,0.5588384760544767,0.5115678619881284,0.3192116232800322
C12orf40,NMS,Modified6,0.14638166587283874,0.21528402968802446,0.16772607686536198
C1orf146,TFAP2D,Modified6,0.2012509803014978,0.3293221411718809,0.6766932132142089
CACNG2,IFNW1,Modified6,0.634979025684564,0.6859800679931798,0.6631515779577191
CACNG3,TRIM49,Modified6,0.3667418689925421,0.33248715232381637,0.05638628004816263
CATSPER4,DRGX,Modified6,0.20862986465757877,0.28318913000235985,0.14933134491193112
CCDC172,DMRTB1,Modified6,-0.02921775522577867,0.17781870404279582,-0.05811717288995272
CCL1,CSN3,Modified6,-0.09325916885426815,0.049697831413314825,0.3019325022811277
CCNK,INTERGENIC,Modified6,-1.7874964745021549,-2.0196408866186952,-1.7472501605465682
CCT3,NONTARGETING,Modified6,-2.868329613420132,-2.767940833668111,-3.02847593959195
CCT4,NONTARGETING,Modified6,-2.433886991077324,-2.79015846134563,-2.0497962041846485
CCT6A,NONTARGETING,Modified6,-1.0958351860193636,-1.5121373236983828,-1.9758817381966267
CCT7,NONTARGETING,Modified6,-2.081881874332351,-2.658353294348839,-2.7131368090544337
CCT8,INTERGENIC,Modified6,-1.5153251253166848,-1.9897537855247887,-1.8696655330104868
CDC40,NONTARGETING,Modified6,-1.1692539325905145,-0.9097615793871926,-0.8931055829673128
CDC5L,NONTARGETING,Modified6,-2.3931701957109093,-2.5837866482985614,-3.226441485490887
CDCP2,BSND,Modified6,0.2632815916344884,0.3693062882808164,0.40779397691813735
CHMP2A,NONTARGETING,Modified6,-0.3672096881780911,-0.44053157058097275,-0.599676069617441
COPA,NONTARGETING,Modified6,-3.0774422340542253,-3.2588994714257318,-2.9755334853419546
COPB1,NONTARGETING,Modified6,-3.0486746182843065,-2.584090378688794,-2.5793436526328666
COPB2,NONTARGETING,Modified6,-2.1394801039864735,-2.1207872512844936,-1.8551830775549953
COPE,NONTARGETING,Modified6,-1.9853696138672694,-1.9749584255637507,-2.370825638955784
COPS4,INTERGENIC,Modified6,-1.8576661866335518,-1.7539300659406756,-1.280365028090337
COPS6,NONTARGETING,Modified6,-1.0033934131342415,-1.3735443992547027,-1.1136438805262068
COPS8,NONTARGETING,Modified6,-1.0167978456247828,-0.6840422498775637,-0.9250279877986276
COPZ1,INTERGENIC,Modified6,-1.7985687269216877,-1.982850882403514,-1.7051474478877515
COX10,NONTARGETING,Modified6,-0.08254466152351532,-0.1258061215194139,-0.18985079727711646
CPSF2,NONTARGETING,Modified6,-1.6839119556013489,-1.897065146381843,-3.723361729248442
CPSF3,NONTARGETING,Modified6,-1.6711257874645729,-2.250019469330742,-1.899490518977273
CSE1L,NONTARGETING,Modified6,-2.3115976203061392,-2.2822304387165127,-2.3688371533386303
CSH1,FRMD7,Modified6,-0.7271567936774396,-0.4756311609101563,-0.2005879819426415
CSHL1,KRTAP10-9,Modified6,0.21497732040118223,0.04575091339185881,0.160763591103398
CSN2,BIRC8,Modified6,0.5045874443820162,0.2855665736369424,0.6549508197157856
CSN3,CCL1,Modified6,0.6777518088230692,0.5032727758539408,0.5778363910388998
CST4,INSL5,Modified6,0.528604584201847,0.7216478403983032,0.5360674785325703
CSTL1,NANOGNB,Modified6,-0.4329071907568044,-0.21762967082782175,-0.05306237584143786
DAZL,TMEM225,Modified6,0.789379034530257,0.9743196821362977,0.860102187733475
DCAF8L1,WFDC9,Modified6,0.2957177527753455,0.546379062984729,0.4225771177872164
DDB1,NONTARGETING,Modified6,-1.564786834783268,-1.847415275994969,-2.04746571263189
DDX18,NONTARGETING,Modified6,-2.228438459925863,-1.4250744525372179,-2.5797976069569875
DDX21,INTERGENIC,Modified6,-1.8751926204626908,-1.9580991953306088,-1.9096072844642524
DDX4,EGR4,Modified6,-0.02935887621405285,-0.03490526433191805,-0.16282234856795397
DDX46,INTERGENIC,Modified6,-1.4328506880754168,-1.4603580608196607,-0.8942349969276291
DDX54,INTERGENIC,Modified6,-1.8727125607907227,-1.8773580908116698,-2.2524059780178276
DEFB104A,KRTAP9-2,Modified6,0.5323381480778331,0.43408687751040503,0.4215580356171532
DEFB123,ANKRD30A,Modified6,0.04124295254293556,0.3357006682533324,0.2221676637401258
DEFB129,TRIM48,Modified6,0.055446236708813094,0.14644461958903124,-0.04963567262511513
DKC1,NONTARGETING,Modified6,-1.2975519773214992,-1.3652515347323448,-1.5867721246298339
DMRTB1,CCDC172,Modified6,0.5293136670710854,0.413097511371952,0.4004938960337703
DMRTC2,TRIM43,Modified6,0.28163932081033594,0.13612896659485696,0.34961729710067546
DRGX,CATSPER4,Modified6,0.13091749982149908,0.2088520016614578,-0.12081138718397914
DYNC1H1,INTERGENIC,Modified6,-3.5239818325381673,-2.3814322954430596,-3.2091921751398864
DYNC1I2,NONTARGETING,Modified6,-2.4727156307128437,-2.547007096358232,-2.802501654881296
EEF2,NONTARGETING,Modified6,-1.801519776893271,-2.4024624208881367,-2.7929383775801107
EFCAB3,SAGE1,Modified6,0.11927354939532002,0.1739136957581674,0.22247966363790356
EGR4,DDX4,Modified6,-0.13211148653853017,-0.13373417935853882,-0.07467709996029132
EIF2B2,NONTARGETING,Modified6,-2.349743288066028,-2.4689971823796224,-2.854402175329315
EIF2B3,NONTARGETING,Modified6,-2.2402249842957134,-2.297545172763183,-2.5307333590560153
EIF2B4,NONTARGETING,Modified6,-3.5888240518277046,-3.4951278158518218,-3.521749499862395
EIF2S2,INTERGENIC,Modified6,-1.5141293827129128,-1.2450706314681999,-1.130596594926771
EIF3A,INTERGENIC,Modified6,-1.7961995445075496,-2.27310593193687,-1.5704155427999376
EIF3B,INTERGENIC,Modified6,-1.636128135454801,-1.6365210948988425,-2.0578333070232278
EIF3C,NONTARGETING,Modified6,-1.518455890823473,-1.5849417223836797,-2.046222943152912
EIF3D,NONTARGETING,Modified6,-1.9259109380678079,-1.627260139302375,-1.9357395217076028
EIF3F,INTERGENIC,Modified6,-1.4992677711240117,-1.5888036504918628,-1.5239841571486
EIF3G,INTERGENIC,Modified6,-2.1662665526318063,-2.1863645186946927,-2.3740974213524257
EIF3H,NONTARGETING,Modified6,-0.6981168040215581,-0.6242901851012045,-1.1016386246303607
EIF3I,INTERGENIC,Modified6,-2.3648453463231345,-2.1798424603451023,-2.2842180664545735
EIF4A3,NONTARGETING,Modified6,-1.7695307001093377,-1.632848174398472,-1.6002622117228948
EIF4E,NONTARGETING,Modified6,-1.5562436675313407,-1.4553979148175111,-2.3355449940736968
EIF5B,INTERGENIC,Modified6,-1.8268279505916163,-1.639931035250128,-1.8859511605107389
EIF6,NONTARGETING,Modified6,-1.5767382833666357,-1.6974680369631543,-2.083606939239636
ERH,INTERGENIC,Modified6,-2.7874234283098076,-2.829413040799513,-2.4730672946216146
ETF1,NONTARGETING,Modified6,-1.7973124349898442,-1.4714475025975458,-1.5822945185803672
F9,MEP1A,Modified6,0.012566302868344342,0.05401062204907267,0.19836871180541416
FAM47B,PRB1,Modified6,0.5755195739294342,0.6000018353790761,0.0036984780170519482
FDPS,NONTARGETING,Modified6,-0.2526344202102135,-0.1894549978944961,-0.3318356334041764
FEZF1,RNASE12,Modified6,0.7351152576189163,0.7018497542885745,0.6381211010298082
FNDC7,HCRTR2,Modified6,0.1682403737128715,0.0886235450806085,0.18154516109646213
FRMD7,CSH1,Modified6,-0.3577558824875332,-0.4182487860923605,-0.5025099628327032
FTSJ3,NONTARGETING,Modified6,-2.815297758630922,-2.4521377736991368,-2.2366113622067223
GABPA,INTERGENIC,Modified6,-0.5058523050886924,-0.4918769198014389,-0.6465101043661986
GAR1,NONTARGETING,Modified6,-0.22910790732264727,-0.2594773776614593,-0.29208129303293123
GEMIN2,NONTARGETING,Modified6,-1.968242539233259,-1.531230193597373,-1.5070516201206807
GHSR,PRSS55,Modified6,0.6240876487681051,0.62335947092883,0.49918632746696656
