Sample,type,value
PILOT_Plasmid,total_reads,1963508.0
PILOT_Plasmid,sgrna1_exists,96.45114763983645
PILOT_Plasmid,sgrna2_exists,84.5647178417404
PILOT_Plasmid,sgrna1_exists_mismatch1,98.99002194032313
PILOT_Plasmid,sgrna2_exists_mismatch1,89.90638184310937
PILOT_Plasmid,OEM1_exact,1.1249253886411463
PILOT_Plasmid,OEM1_mismatch,1.1666873778971107
PILOT_Plasmid,OEM2_exact,0.09966855240722218
PILOT_Plasmid,OEM2_mismatch,0.09966855240722218
PILOT_Plasmid,sgrna_match,81.31049122285216
PILOT_Plasmid,sgrna_match_mismatch1,87.9069502135973
PILOT_Plasmid,sgrna_inconsistent,10.682818710186055
PILOT_Plasmid,swap,9.195633529377014
PILOT_Plasmid,swap_mismatch1,10.137213599333437
PILOT_Plasmid,scaffold_exist,80.51329559135996
PILOT_Plasmid,scaffold_exist_mismatch1,88.35115517736622
PILOT_Plasmid,scaffold_WT,49.78039305161985
PILOT_Plasmid,scaffold_MT6,15.969173540418474
PILOT_Plasmid,scaffold_MT7,14.763728999321623
PILOT_Plasmid,scaffold_WT_mismatch3,54.43802622652926
PILOT_Plasmid,scaffold_MT6_mismatch3,17.55607820288993
PILOT_Plasmid,scaffold_MT7_mismatch3,16.357050747947042
PILOT_Plasmid,swap_WT,5.097050788690446
PILOT_Plasmid,swap_MT6,1.6179715081374766
PILOT_Plasmid,swap_MT7,1.2708377047610706
PILOT_Plasmid,swap_WT_mismatch,6.158110891323081
PILOT_Plasmid,swap_MT6_mismatch,1.9796201492430894
PILOT_Plasmid,swap_MT7_mismatch,1.6221477070630728
PILOT_500X_D14_R1,total_reads,2042557.0
PILOT_500X_D14_R1,sgrna1_exists,92.62762312141105
PILOT_500X_D14_R1,sgrna2_exists,77.66921559594175
PILOT_500X_D14_R1,sgrna1_exists_mismatch1,96.50687838821635
PILOT_500X_D14_R1,sgrna2_exists_mismatch1,83.75183654605478
PILOT_500X_D14_R1,OEM1_exact,1.7591185949767865
PILOT_500X_D14_R1,OEM1_mismatch,1.8586017428155004
PILOT_500X_D14_R1,OEM2_exact,0.16959135044946116
PILOT_500X_D14_R1,OEM2_mismatch,0.16959135044946116
PILOT_500X_D14_R1,sgrna_match,74.37129049519793
PILOT_500X_D14_R1,sgrna_match_mismatch1,83.13075228745146
PILOT_500X_D14_R1,sgrna_inconsistent,12.937607126753377
PILOT_500X_D14_R1,swap,22.16271075911223
PILOT_500X_D14_R1,swap_mismatch1,24.944273280990444
PILOT_500X_D14_R1,scaffold_exist,72.08973849934176
PILOT_500X_D14_R1,scaffold_exist_mismatch1,83.50454846547734
PILOT_500X_D14_R1,scaffold_WT,46.35596460710766
PILOT_500X_D14_R1,scaffold_MT6,12.122941979097767
PILOT_500X_D14_R1,scaffold_MT7,13.610831913136328
PILOT_500X_D14_R1,scaffold_WT_mismatch3,53.29457146116363
PILOT_500X_D14_R1,scaffold_MT6_mismatch3,14.062618570742458
PILOT_500X_D14_R1,scaffold_MT7_mismatch3,16.147358433571256
PILOT_500X_D14_R1,swap_WT,10.605677099831242
PILOT_500X_D14_R1,swap_MT6,3.4293779806389737
PILOT_500X_D14_R1,swap_MT7,4.207814029180092
PILOT_500X_D14_R1,swap_WT_mismatch,13.766910788780926
PILOT_500X_D14_R1,swap_MT6_mismatch,4.492506206681136
PILOT_500X_D14_R1,swap_MT7_mismatch,5.7443684558129835
PILOT_500X_D14_R2,total_reads,1639093.0
PILOT_500X_D14_R2,sgrna1_exists,92.31886171193459
PILOT_500X_D14_R2,sgrna2_exists,72.64822679372067
PILOT_500X_D14_R2,sgrna1_exists_mismatch1,96.10864057134036
PILOT_500X_D14_R2,sgrna2_exists_mismatch1,80.56827769992306
PILOT_500X_D14_R2,OEM1_exact,2.103602419142782
PILOT_500X_D14_R2,OEM1_mismatch,2.2281835136871426
PILOT_500X_D14_R2,OEM2_exact,0.14349399332435683
PILOT_500X_D14_R2,OEM2_mismatch,0.14349399332435683
PILOT_500X_D14_R2,sgrna_match,69.7492454668527
PILOT_500X_D14_R2,sgrna_match_mismatch1,80.0830703321898
PILOT_500X_D14_R2,sgrna_inconsistent,15.27979193370968
PILOT_500X_D14_R2,swap,20.94084960401881
PILOT_500X_D14_R2,swap_mismatch1,24.204483821235282
PILOT_500X_D14_R2,scaffold_exist,70.03104765867465
PILOT_500X_D14_R2,scaffold_exist_mismatch1,80.66564862396459
PILOT_500X_D14_R2,scaffold_WT,44.78238879673088
PILOT_500X_D14_R2,scaffold_MT6,11.951548813886705
PILOT_500X_D14_R2,scaffold_MT7,13.297110048057064
PILOT_500X_D14_R2,scaffold_WT_mismatch3,51.20838170866448
PILOT_500X_D14_R2,scaffold_MT6_mismatch3,13.78976055660051
PILOT_500X_D14_R2,scaffold_MT7_mismatch3,15.667506358699598
PILOT_500X_D14_R2,swap_WT,10.056720393534716
PILOT_500X_D14_R2,swap_MT6,3.302009098934594
PILOT_500X_D14_R2,swap_MT7,3.987754203086707
PILOT_500X_D14_R2,swap_WT_mismatch,13.323771134401769
PILOT_500X_D14_R2,swap_MT6_mismatch,4.392002162171396
PILOT_500X_D14_R2,swap_MT7_mismatch,5.544712838136701
PILOT_500X_D14_R3,total_reads,1994856.0
PILOT_500X_D14_R3,sgrna1_exists,92.99894328212162
PILOT_500X_D14_R3,sgrna2_exists,78.97863304418966
PILOT_500X_D14_R3,sgrna1_exists_mismatch1,96.78112104332342
PILOT_500X_D14_R3,sgrna2_exists_mismatch1,84.7559422835533
PILOT_500X_D14_R3,OEM1_exact,1.6754592812714302
PILOT_500X_D14_R3,OEM1_mismatch,1.7626334933448828
PILOT_500X_D14_R3,OEM2_exact,0.17675461286428695
PILOT_500X_D14_R3,OEM2_mismatch,0.17675461286428695
PILOT_500X_D14_R3,sgrna_match,75.74005341738953
PILOT_500X_D14_R3,sgrna_match_mismatch1,84.21053950761357
PILOT_500X_D14_R3,sgrna_inconsistent,12.146791547861099
PILOT_500X_D14_R3,swap,22.668252746062873
PILOT_500X_D14_R3,swap_mismatch1,25.36859803414382
PILOT_500X_D14_R3,scaffold_exist,73.51352679090621
PILOT_500X_D14_R3,scaffold_exist_mismatch1,84.57963883107352
PILOT_500X_D14_R3,scaffold_WT,46.89802171184286
PILOT_500X_D14_R3,scaffold_MT6,12.492230015600123
PILOT_500X_D14_R3,scaffold_MT7,14.123275063463229
PILOT_500X_D14_R3,scaffold_WT_mismatch3,53.55900375766471
PILOT_500X_D14_R3,scaffold_MT6_mismatch3,14.390462268955753
PILOT_500X_D14_R3,scaffold_MT7_mismatch3,16.630172804453053
PILOT_500X_D14_R3,swap_WT,10.9033433992228
PILOT_500X_D14_R3,swap_MT6,3.548226037368111
PILOT_500X_D14_R3,swap_MT7,4.359312150851991
PILOT_500X_D14_R3,swap_WT_mismatch,13.96241132191998
PILOT_500X_D14_R3,swap_MT6_mismatch,4.592311424985061
PILOT_500X_D14_R3,swap_MT7_mismatch,5.892555653139875
PILOT_500X_D3,total_reads,1945181.0
PILOT_500X_D3,sgrna1_exists,92.38209709019365
PILOT_500X_D3,sgrna2_exists,76.98178215806138
PILOT_500X_D3,sgrna1_exists_mismatch1,96.01075683959488
PILOT_500X_D3,sgrna2_exists_mismatch1,83.67252199152675
PILOT_500X_D3,OEM1_exact,1.5307058828972728
PILOT_500X_D3,OEM1_mismatch,1.6239619860568246
PILOT_500X_D3,OEM2_exact,0.14512788270089005
PILOT_500X_D3,OEM2_mismatch,0.14512788270089005
PILOT_500X_D3,sgrna_match,73.98740785561859
PILOT_500X_D3,sgrna_match_mismatch1,83.17380233510403
PILOT_500X_D3,sgrna_inconsistent,12.381932581081143
PILOT_500X_D3,swap,21.478875230634063
PILOT_500X_D3,swap_mismatch1,24.35968683634068
PILOT_500X_D3,scaffold_exist,72.51032166158316
PILOT_500X_D3,scaffold_exist_mismatch1,83.40946163878837
PILOT_500X_D3,scaffold_WT,42.87919736004002
PILOT_500X_D3,scaffold_MT6,14.010007294950958
PILOT_500X_D3,scaffold_MT7,15.62111700659219
PILOT_500X_D3,scaffold_WT_mismatch3,49.02885644060887
PILOT_500X_D3,scaffold_MT6_mismatch3,16.10287166078632
PILOT_500X_D3,scaffold_MT7_mismatch3,18.27773353739318
PILOT_500X_D3,swap_WT,10.003901950512574
PILOT_500X_D3,swap_MT6,3.5424466926214064
PILOT_500X_D3,swap_MT7,4.379026938881267
PILOT_500X_D3,swap_WT_mismatch,12.948820701004173
PILOT_500X_D3,swap_MT6_mismatch,4.640904882373413
PILOT_500X_D3,swap_MT7_mismatch,5.923047778073094
PILOT_100X_D14_R1,total_reads,1465644.0
PILOT_100X_D14_R1,sgrna1_exists,90.12734333849147
PILOT_100X_D14_R1,sgrna2_exists,73.49376792727293
PILOT_100X_D14_R1,sgrna1_exists_mismatch1,94.3626146594944
PILOT_100X_D14_R1,sgrna2_exists_mismatch1,79.03556388863872
PILOT_100X_D14_R1,OEM1_exact,1.8218612432487018
PILOT_100X_D14_R1,OEM1_mismatch,1.9321199418139738
PILOT_100X_D14_R1,OEM2_exact,0.13079574576090783
PILOT_100X_D14_R1,OEM2_mismatch,0.13079574576090783
PILOT_100X_D14_R1,sgrna_match,69.96637655528902
PILOT_100X_D14_R1,sgrna_match_mismatch1,78.40751232905126
PILOT_100X_D14_R1,sgrna_inconsistent,15.558757788385174
PILOT_100X_D14_R1,swap,21.104101678170142
PILOT_100X_D14_R1,swap_mismatch1,23.814377843459937
PILOT_100X_D14_R1,scaffold_exist,66.70139542753903
PILOT_100X_D14_R1,scaffold_exist_mismatch1,78.76182756522047
PILOT_100X_D14_R1,scaffold_WT,42.50841268411701
PILOT_100X_D14_R1,scaffold_MT6,11.326420331267348
