ID	Notes	Scaffold	sgRNA1_ID	Gene1	sgRNA2_ID	Gene2	sgRNA1_Class	sgRNA2_Class	vector_class
DG0000001	GIpairs	Wildtype	903907510	ARID1A	1017672369	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000002	GIpairs	Wildtype	903907510	ARID1A	1017672447	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000003	GIpairs	Wildtype	903907510	ARID1A	1017672326	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000004	GIpairs	Wildtype	903907510	ARID1A	1017712232	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000005	GIpairs	Wildtype	903911503	ARID1A	1017672369	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000006	GIpairs	Wildtype	903911503	ARID1A	1017672447	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000007	GIpairs	Wildtype	903911503	ARID1A	1017672326	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000008	GIpairs	Wildtype	903911503	ARID1A	1017712232	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000009	GIpairs	Wildtype	903907422	ARID1A	1017672369	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000010	GIpairs	Wildtype	903907422	ARID1A	1017672447	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000011	GIpairs	Wildtype	903907422	ARID1A	1017672326	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000012	GIpairs	Wildtype	903907422	ARID1A	1017712232	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000013	GIpairs	Wildtype	903911478	ARID1A	1017672369	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000014	GIpairs	Wildtype	903911478	ARID1A	1017672447	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000015	GIpairs	Wildtype	903911478	ARID1A	1017672326	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000016	GIpairs	Wildtype	903911478	ARID1A	1017712232	ARID1B	unclassified	unclassified	unclassified + unclassified
DG0000017	GIpairs	Wildtype	903907510	ARID1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000018	GIpairs	Wildtype	903907510	ARID1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000019	GIpairs	Wildtype	903907510	ARID1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000020	GIpairs	Wildtype	903907510	ARID1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000021	GIpairs	Wildtype	903907510	ARID1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000022	GIpairs	Wildtype	903907510	ARID1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
