ID	Notes	Scaffold	sgRNA1_ID	Gene1	sgRNA2_ID	Gene2	Gene_Pair	PILOT_100X_D14_R1	PILOT_100X_D14_R2	PILOT_100X_D14_R3	PILOT_100X_D3	PILOT_500X_D14_R1	PILOT_500X_D14_R2	PILOT_500X_D14_R3	PILOT_500X_D3	PILOT_PCR500X_D14_R1	PILOT_PCR500X_D14_R2	PILOT_PCR500X_D14_R3	PILOT_PCR500X_D3	PILOT_Plasmid
DG0000001	GIpairs	Wildtype	903907510	ARID1A	1017672369	ARID1B	ARID1A~ARID1B	62	98	84	78	169	131	146	90	148	133	164	85	143
DG0000002	GIpairs	Wildtype	903907510	ARID1A	1017672447	ARID1B	ARID1A~ARID1B	144	77	122	58	193	100	144	99	114	110	120	61	184
DG0000003	GIpairs	Wildtype	903907510	ARID1A	1017672326	ARID1B	ARID1A~ARID1B	179	132	188	125	237	163	238	141	200	185	176	105	221
DG0000004	GIpairs	Wildtype	903907510	ARID1A	1017712232	ARID1B	ARID1A~ARID1B	71	109	42	13	100	76	84	45	75	60	56	59	67
DG0000005	GIpairs	Wildtype	903911503	ARID1A	1017672369	ARID1B	ARID1A~ARID1B	174	195	189	92	365	236	326	179	273	228	371	142	330
DG0000006	GIpairs	Wildtype	903911503	ARID1A	1017672447	ARID1B	ARID1A~ARID1B	217	148	163	95	256	178	248	128	175	139	208	93	294
DG0000007	GIpairs	Wildtype	903911503	ARID1A	1017672326	ARID1B	ARID1A~ARID1B	252	227	228	99	358	343	361	159	229	294	384	165	272
DG0000008	GIpairs	Wildtype	903911503	ARID1A	1017712232	ARID1B	ARID1A~ARID1B	52	65	73	21	88	78	79	53	93	82	45	41	88
DG0000009	GIpairs	Wildtype	903907422	ARID1A	1017672369	ARID1B	ARID1A~ARID1B	116	127	169	95	215	161	217	104	243	144	198	117	210
DG0000010	GIpairs	Wildtype	903907422	ARID1A	1017672447	ARID1B	ARID1A~ARID1B	104	87	128	56	174	107	170	85	116	90	180	68	155
DG0000011	GIpairs	Wildtype	903907422	ARID1A	1017672326	ARID1B	ARID1A~ARID1B	132	133	128	63	231	113	257	113	214	173	260	131	215
DG0000012	GIpairs	Wildtype	903907422	ARID1A	1017712232	ARID1B	ARID1A~ARID1B	80	112	132	32	123	90	115	75	127	101	84	55	101
DG0000013	GIpairs	Wildtype	903911478	ARID1A	1017672369	ARID1B	ARID1A~ARID1B	225	245	274	88	284	239	302	131	167	209	248	132	207
DG0000014	GIpairs	Wildtype	903911478	ARID1A	1017672447	ARID1B	ARID1A~ARID1B	84	73	99	40	133	110	128	68	101	72	87	43	136
DG0000015	GIpairs	Wildtype	903911478	ARID1A	1017672326	ARID1B	ARID1A~ARID1B	209	236	265	149	391	314	341	203	305	320	328	177	272
DG0000016	GIpairs	Wildtype	903911478	ARID1A	1017712232	ARID1B	ARID1A~ARID1B	54	69	81	30	71	92	86	45	46	74	72	38	75
DG0000017	GIpairs	Wildtype	903907510	ARID1A	1167699490	KLK12	ARID1A~KLK12	177	128	176	82	201	189	213	119	138	150	140	130	146
DG0000018	GIpairs	Wildtype	903907510	ARID1A	1058273241	CYLC2	ARID1A~CYLC2	231	232	194	153	379	250	397	233	329	270	376	163	274
