sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R2_logFC_WT	PILOT_100X_D14_R2_logFC_WT	PILOT_PCR500X_D14_R1_logFC_WT	PILOT_100X_D14_R1_logFC_WT	PILOT_500X_D14_R2_logFC_WT	PILOT_500X_D14_R3_logFC_WT	PILOT_500X_D14_R1_logFC_WT	PILOT_100X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R2_logFC_M6	PILOT_100X_D14_R2_logFC_M6	PILOT_PCR500X_D14_R1_logFC_M6	PILOT_100X_D14_R1_logFC_M6	PILOT_500X_D14_R2_logFC_M6	PILOT_500X_D14_R3_logFC_M6	PILOT_500X_D14_R1_logFC_M6	PILOT_100X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R2_logFC_M7	PILOT_100X_D14_R2_logFC_M7	PILOT_PCR500X_D14_R1_logFC_M7	PILOT_100X_D14_R1_logFC_M7	PILOT_500X_D14_R2_logFC_M7	PILOT_500X_D14_R3_logFC_M7	PILOT_500X_D14_R1_logFC_M7
1163612791	CTRL00741	-0.29425464295268955	-1.1352894638583437	-0.05093549472098453	-0.2975184992078941	-0.44293770589350506	-0.2212126734711434	-1.0931658851879666	0.03479858650346594	-0.2796667642503282	-1.6118193036996977	-1.5715777162434288	-1.0517125515443468	-2.674101051978172	-1.6302095236551097	-2.9195713653938844	-2.167670674417227	-1.5049423249674172	-2.8078385285835705	-3.0765051531885153	-1.9613999794413413	-2.603788527397045	-2.0379881636677366	-3.3990065209544307	-1.355821809392133	-2.2429297039104554	-2.578689066430068	-1.7598400478412644
1163612794	CTRL00741	-2.433980645568745	-1.7779501583018218	-7.034002328408235	-3.5551349266285226	-1.4414847515664986	-0.214680491503752	-3.1485807098230296	-2.78754806944924	-1.799446732235562	-1.8726228342779732	-7.243650401200151	-2.1406336183072865	-3.5884041595944995	-6.010954130005458	-2.0195256876861074	-2.2865696995529063	-2.512934942283629	-2.7445215201530067	-2.285785872139653	-2.9902983885878824	-2.3191848053106168	-2.2823096957851083	-2.1482271307246954	-1.7201767440061568	-1.7957365033435013	-2.6981896838475548	-2.1241252329138085
954733919	CTRL00311	-1.97431437334494	-2.0838582361626434	-0.9307442829269387	-0.9096903557773272	-2.3510508070268195	-1.6268565204448255	-2.030909236608972	-1.9539326593299517	-1.8996241558185043	-0.8861163173414104	-1.277436896432002	-2.302196272430022	-0.9708980672669435	-1.6174305172934922	-1.502661548092642	-1.1769903404926831	-0.9856709897496309	-1.3705107144545436	-1.35698636234493	-1.4358765755578327	-2.0522946371417508	-1.1598826613226485	-1.177539399749634	-2.7352451021978124	-1.9342909966580784	-1.9400002069199058	-2.606951556859151
954734137	CTRL00311	0.20410022974583988	-0.8042787745447008	-0.6535555647802448	-0.7331146950769063	-1.1201043870266043	-0.7320506108245547	-0.5338532769151435	-1.0930180599377783	-0.825775348478441	-0.3435418748987717	-1.7517258837791918	-2.096985602061067	-2.1247015023173406	-2.323967952705758	-3.105199002022756	-1.7663182246137783	-1.5700608379423793	-1.923063435012117	-0.9802845200096051	-0.5495450278654836	-1.844037152804906	-0.8237501898863001	-1.1106376889304175	-0.6843504011332675	-1.5487081298326677	-1.2147307595553802	-1.354582266169546
903486475	CTRL00208	-2.0538714428889246	-2.249549302495639	-3.3338872414981884	-2.470796229868459	-3.2614332077642256	-0.8876334846271214	-2.671870795678362	-2.594894218399342	-2.15819348026859	-2.66347204390382	-4.111050153036997	-2.409285362804152	-1.760963022042536	-2.1269561615532004	-1.5867549019897016	-3.5713451169841877	-2.8052053255951606	-2.6309235730209766	-2.1930782471834402	-3.3934756396252586	-3.007629082667228	-2.6854869468224845	-3.315941574327174	-3.5724022698176667	-3.513118565556396	-2.4454035230379265	-2.4552682478035823
903486594	CTRL00208	0.7001229118326369	0.77822717675615	0.7584120305333566	0.22963007622837223	1.251183571600464	0.9249467886685422	0.9577640018099725	0.6470425249981177	0.47814461206622194	-1.737497979958318	-1.4447202374707857	-1.5580126965389434	-3.0596377810933144	-2.776748126465013	-0.5781475369841249	-1.7800770745449255	-1.2054150484241277	-1.7232093751542097	-2.2339971177794467	-0.746846926194388	-1.5496860320638812	-1.6149618908165329	-2.51926356066563	-1.7817461896857392	-1.3472891197260861	-1.4199069029914877	-1.2214846527658765
1148671387	CTRL00731	1.8944027663606091	1.4453880327496915	1.516766772980578	1.4497407594878557	1.703098708301834	1.4717949718654637	1.3994066789344646	1.3054616955501517	1.3680098282394524	-2.506022846440561	-2.0533615599328465	-2.413820986600856	-2.7125885379246517	-2.36918717241475	-2.0322714687789385	-1.863558242525707	-1.6869596008055985	-2.3519022879887332	-1.489317545812837	-0.8349588829122251	-1.125351558734472	-0.9902823451858382	-2.2564172456938048	-0.6536488363899393	-1.3214833661456757	-1.3519327006455353	-1.6048524784940095
1148671388	CTRL00731	-0.6386128687274889	-1.1766247286496299	-0.9829695089131657	-0.5034428897143516	-1.0720292413903798	0.5218971434811037	-1.4523760973759823	-1.2980138293671815	-1.3078337999724272	-1.3457165025730218	-2.794891557724345	-0.9512415164877062	-1.658972767704026	-2.296016687042146	-2.167366535153447	-1.2751977871409823	-1.9107167927930935	-1.1587072765769344	-0.15046372460201626	-0.4930358186398796	-0.393640865392672	-0.11824607075034915	-0.04695941546314832	0.17038104957121208	0.1091091547908559	-0.09747350199038994	0.16601512716161038
1077098532	CTRL00449	-2.141907027953864	-1.6711238891459828	-2.6742174564521894	-2.185718345301835	-2.637586282133472	-1.0808299563094192	-1.9101027045105954	-1.8096461753299606	-2.015729569247167	-2.2540540693576876	-2.221403683431064	-2.7788816206060685	-2.2533981686771503	-1.1586689864751611	-1.0753876717780357	-2.100279848603153	-2.2833815313702837	-2.2933228277854347	-0.8148277893635463	-0.43693462659024995	-2.2288833246581476	-1.602595305327432	-1.6150364555540186	-1.9003513545825073	-1.449128668561774	-1.1153685602988066	-0.6740065516837158
1077098736	CTRL00449	-0.9940403886301702	-0.24919160054725847	-1.6876364251397247	-1.9295283714489697	-0.8940247736181146	-0.8435050604954388	-1.7552980655216408	-1.7956381046470544	-0.5485678863833974	-1.666841188946164	-1.1797499902961246	-1.9915342515773653	-0.8830193021510638	-1.402046040504484	-1.882703264370121	-1.319216217811443	-1.6128319408116139	-1.7600080211735476	-1.0270441378285158	-1.2801304848483108	-1.3730581930116605	-2.0550396366040435	-0.5588300570095444	-0.36788027731523626	-1.103325875087595	-0.730618440640707	-1.300417506454814
