sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1163612791	CTRL00741	-0.444364	-0.387555	-0.398047	-2.75953	-2.10069	-1.14278	-2.40378	-2.22222	-2.63834
1163612794	CTRL00741	-1.92077	-2.44787	-3.54189	-1.76185	-2.45305	-4.91936	-1.94299	-2.2742	-2.58717
954733919	CTRL00311	-1.2683	-1.74649	-2.42827	-1.06592	-1.19679	-1.65121	-2.11928	-2.13118	-1.36938
954734137	CTRL00311	-1.26509	-1.0875	-0.867304	-2.2435	-1.8178	-2.03022	-1.72481	-2.07855	-1.73189
903486475	CTRL00208	-1.18735	-2.49147	-3.18735	-2.50915	-3.23746	-3.11712	-3.24047	-2.97652	-3.53936
903486594	CTRL00208	0.468486	0.355657	0.34606	-1.96622	-2.12353	-2.75914	-2.18151	-1.68728	-1.8157
1148671387	CTRL00731	1.203	0.792573	1.49353	-2.08329	-2.30301	-2.64264	-1.75607	-2.03502	-2.10769
1148671388	CTRL00731	-0.368625	-0.929699	-0.446348	-1.59837	-1.28429	-2.09943	0.197774	0.025174	-0.392131
1077098532	CTRL00449	-1.94155	-2.20429	-2.82034	-2.02836	-2.59024	-2.27094	-2.1582	-1.95542	-2.17386
1077098736	CTRL00449	-1.35558	-1.3047	-0.808382	-1.55862	-1.40006	-1.25186	-1.09816	-1.28872	-1.49683
938003320	CTRL00204	-1.90444	-1.70263	-2.20851	-4.79091	-2.56974	-4.54313	-1.3389	-2.36631	-2.90935
938003630	CTRL00204	-0.43719	-0.233068	-0.337879	-1.23063	-1.1483	-0.932211	-1.30653	-1.15128	-1.48582
1057734937	CTRL00542	-0.77463	-1.49574	-0.605354	-0.98703	-1.64724	-2.9851	-1.26356	-2.0299	-1.83372
1057735374	CTRL00542	-0.611009	-1.57508	-2.06523	-2.27033	-1.17796	-1.30373	-1.9821	-0.989736	-1.46171
923604459	CTRL00006	-0.47881	-0.269131	0.0559322	-0.905354	-0.0502167	-0.654248	0.117549	0.063889	0.779213
923602393	CTRL00006	-0.24825	0.344476	0.0655152	0.980828	-0.0560864	0.879419	0.239192	0.121733	0.172167
1029493410	CTRL00277	-1.89248	-2.0435	-1.5159	-1.17592	-2.11298	-2.15607	-1.452	-1.0303	-1.44522
1029493591	CTRL00277	0.927027	1.56543	1.4809	-0.496039	-0.718228	-1.61325	-0.549306	-0.566214	-0.927355
944242742	CTRL00510	-4.23938	-2.63464	-3.64048	-3.60727	-2.91436	-4.24251	-3.04755	-3.09337	-2.0038
944242745	CTRL00510	-2.22275	-2.69471	-2.07742	-4.10623	-3.37068	-2.99015	-2.96357	-2.90615	-2.13594
966872366	CTRL00773	-2.1878	-2.2226	-1.76726	-2.40563	-1.79263	-2.41037	-1.36413	-1.38123	-2.26151
966872748	CTRL00773	-0.612544	-0.608092	-1.30632	-1.87415	-2.35178	-4.19447	-1.28279	-1.59377	-2.58314
923734896	CTRL00683	0.390665	0.497939	-0.525691	-1.65547	-1.25801	-2.55617	-1.14005	-0.809637	-1.60999
923735578	CTRL00683	-0.172522	-0.383654	-0.662274	-1.09053	-1.35959	-2.47617	-0.697279	-0.961072	-2.42612
904085819	CTRL00749	-3.66464	-1.48319	-2.98702	-3.5826	-2.41638	-2.32384	-3.11945	-2.99202	-3.47185
904085811	CTRL00749	-1.29308	-0.541037	-0.966724	-2.09198	-1.94287	-1.33156	-2.72298	-1.97861	-1.8177
1147789207	CTRL00175	0.0219378	-0.379261	-0.846784	-3.0055	-2.257	-4.12334	-0.587291	-2.83969	-1.45898
1147788663	CTRL00175	-1.09096	-0.975806	-1.26506	-2.48147	-1.69675	-2.42129	-2.20425	-2.03669	-1.55303
1006312792	CTRL00320	-2.77921	-1.83288	-1.38059	-1.09459	-1.46844	-2.28453	-2.54693	-1.53636	-2.98654
1006313200	CTRL00320	-1.59001	-1.6138	-0.982407	-2.65312	-3.51577	-2.04003	-2.88431	-2.99881	-3.34916
1143668510	CTRL00316	-2.63845	-1.62927	-1.93704	-1.71182	-1.56968	-1.82993	-2.42869	-2.05429	-2.34731
1143668526	CTRL00316	-1.23454	-1.41996	-1.03452	-1.64497	-2.29851	-2.18344	-1.26707	-1.98744	-1.26763
1161384366	CTRL00901	-2.27829	-2.6862	-2.32645	-1.96183	-2.25149	-3.06779	-2.80251	-2.29732	-2.56281
1161384218	CTRL00901	-1.97803	-2.11993	-1.73886	-1.07314	-2.33018	-2.66282	-2.37184	-2.47896	-2.01066
906340726	CTRL00890	-0.949479	-0.969429	-1.25547	-1.64022	-1.35756	-2.88712	-1.64174	-1.97085	-2.3841
906336992	CTRL00890	0.522248	-0.269377	0.262764	-2.71782	-2.6836	-1.52417	-3.30289	-2.67505	-3.40419
1051655581	CTRL00054	0.485306	0.429811	0.618925	-4.13697	-1.88976	-3.02613	-2.14927	-2.14985	-0.690826
1051655566	CTRL00054	-2.56674	-1.19563	-2.32839	-2.34442	-2.09134	-2.79197	-1.84492	-1.90366	-4.37747
1154994009	CTRL00161	-2.96572	-2.77623	-2.71498	-2.86269	-3.25755	-2.94423	-3.57536	-2.36245	-2.76254
1154994722	CTRL00161	-2.69154	-2.27072	-2.69743	-2.23846	-2.46317	-2.55614	-1.81954	-2.63657	-2.15947
1200057466	CTRL00757	-0.525769	-1.14914	-0.0849558	-1.4764	-1.1038	-1.49711	-1.01126	-1.99131	-1.67396
1200057471	CTRL00757	-0.335751	-0.498645	-0.39262	-1.14239	-1.06739	-0.958446	-0.515889	-0.874618	-1.07661
1056169954	CTRL00678	-2.18408	-2.85124	-2.55404	-3.80657	-2.82603	-4.52704	-2.66062	-1.97288	-1.4697
1056170093	CTRL00678	-2.0433	-2.09595	-1.89873	-3.2283	-2.44478	-3.47704	-2.50603	-1.7916	-4.30005
1139932010	CTRL00712	-1.84603	-0.872367	-1.06786	-2.23461	-1.97418	-2.64996	-0.50157	-1.52688	-1.80119
1139934070	CTRL00712	-0.92971	-1.15317	-1.02749	-2.59399	-2.69741	-2.51815	-2.26611	-2.22376	-3.46648
1074131602	CTRL00232	-2.66006	-1.8454	-0.588812	-1.78633	-2.33573	-1.93857	-2.79096	-2.73427	-2.51013
1074131487	CTRL00232	-2.44804	-1.97692	-1.51892	-2.78862	-2.48611	-4.05374	-1.70372	-2.86919	-3.19527
1064237175	CTRL00946	-0.177064	0.182087	-0.369681	-0.209599	-0.507503	-1.10574	-0.197181	-0.0547855	-0.362068
1064239348	CTRL00946	-0.501791	-0.108329	0.0689423	-0.588063	-0.548148	-0.299181	-0.0537914	-0.199993	-0.630512
967797954	CTRL00656	0.303989	0.24502	-0.041124	0.152932	-0.131103	0.146691	0.151081	0.653409	1.19757
967799738	CTRL00656	-0.249986	-0.16355	-0.0457786	-0.226328	-0.390447	0.0139382	0.312371	-0.061803	0.464011
1013442099	CTRL00123	0.0661191	-0.245794	0.279549	-0.799044	-0.0796216	-0.264528	0.0932419	-0.0142502	0.0513698
1013444593	CTRL00123	-1.59867	-0.391374	-1.65258	-1.64365	-1.43933	-1.7124	-1.33332	-1.86683	-1.48392
1142845697	CTRL00068	-1.50223	-0.380665	-0.406485	-3.40151	-2.66289	-3.96309	-4.33727	-2.28929	-3.72587
1142845696	CTRL00068	-2.08802	-2.14285	-2.29106	-2.9056	-2.64147	-5.0575	-2.9855	-2.54917	-2.72179
997987926	CTRL00655	-0.264542	0.211635	0.164931	-1.48657	-1.33177	-1.51014	0.0316643	0.54912	-0.0308485
997987181	CTRL00655	-2.63341	-1.76745	-0.998676	-2.80176	-1.82062	-1.51936	-2.17529	-2.14703	-2.05191
966403761	CTRL00929	-1.7733	-2.11689	-2.93882	-2.4263	-2.68287	-3.12149	-2.9345	-3.19685	-2.16943
966404603	CTRL00929	-2.58658	-2.16051	-1.73562	-1.90887	-2.27104	-1.79069	-1.96922	-2.33737	-3.23584
1149616605	CTRL00490	-2.89117	-1.79504	-3.28544	-2.49542	-3.40367	-2.06534	-3.01217	-3.32981	-2.8953
1149616599	CTRL00490	-3.93456	-2.42593	-2.58679	-2.95583	-3.65345	-4.23548	-2.85301	-3.18777	-2.79868
1200279693	CTRL00370	-0.816914	-0.987309	-0.913949	-1.30808	-1.53242	-2.10388	-0.726687	-1.00763	0.393088
1200279801	CTRL00370	0.0573573	0.18879	0.509782	-1.91538	-1.74817	-1.37129	0	0.603161	0
999333895	CTRL00585	-1.66654	-1.58871	-2.53108	-1.77689	-2.1826	-1.49543	-1.99948	-2.31881	-2.90413
999333719	CTRL00585	-0.748531	-0.430617	-0.612298	-0.82493	-1.32091	-1.78505	-0.455357	-0.702176	-0.977931
1165849955	CTRL00761	-0.914285	-1.08153	-1.90937	-1.2859	-1.38408	-2.08859	-1.17206	-1.43655	-1.60435
1165849399	CTRL00761	0.222634	-0.102393	-0.115711	0.601494	-0.39591	-0.284779	-0.153028	-0.551259	-1.03922
1165489445	CTRL00804	-3.30248	-2.60624	-2.56197	-2.13814	-3.3967	-2.61577	-2.31791	-2.17296	-4.05346
1165489414	CTRL00804	-3.12283	-2.3176	-2.90236	-2.72	-2.48422	-4.31446	-3.48315	-2.69888	-1.80009
962858903	CTRL00917	-2.40983	-2.08191	-3.35385	-2.02919	-2.49656	-2.94857	-3.26731	-2.62227	-3.05068
962858554	CTRL00917	-0.460693	-0.894293	-1.22192	-1.03386	-1.65939	-0.996018	-2.28109	-1.4529	-1.21322
953165190	CTRL00992	-0.957926	-1.30873	-0.882315	-1.74299	-2.15496	-3.05761	-0.959894	-1.14373	-0.923478
953165196	CTRL00992	-2.85254	-1.89703	-2.37218	-2.23932	-1.8023	-1.90024	-1.81062	-1.91074	-1.4669
1115987210	CTRL00164	-0.972588	-0.410226	-0.0919391	-1.00256	-1.09432	-0.447115	0	0	0
1115987198	CTRL00164	-0.783699	-0.396212	-1.05716	0.0530467	0.0428122	0.104332	-0.213127	-0.278331	-0.502734
1083459630	CTRL00407	-2.50142	-1.93416	-3.06943	-2.8493	-2.23906	-2.66229	-4.00462	-2.80124	-2.08726
1083459789	CTRL00407	0.171963	0.0972982	-0.166869	-0.273419	-0.544396	-0.547404	-0.344739	-0.0261343	0.0302664
1096127231	CTRL00335	0.579748	0.261954	0.441835	0.471811	0.179157	-0.0290014	-0.438476	0.192565	0.235301
1096127328	CTRL00335	0.479798	0.0498523	-0.271842	-0.105994	-0.00239181	-0.641606	0.350989	0.159565	0.0908466
1138362831	CTRL00794	-1.80653	-1.66192	-1.86367	-2.54486	-2.88086	-3.73471	-1.7662	-3.13982	-2.68295
1138362931	CTRL00794	-1.95417	-1.08772	-1.3976	-2.91364	-1.18741	-1.58177	-1.1316	-1.28677	-2.08188
1063444884	CTRL00934	-1.28973	-0.945426	-2.30667	-1.36774	-1.68926	-1.83151	-1.7576	-1.37717	-1.96739
1063444454	CTRL00934	-0.541622	-0.523006	-1.3844	-1.12408	-0.940613	-0.827056	-1.38277	-0.924016	-1.54128
934682084	CTRL00107	-1.57917	-2.83675	-2.41354	-2.68276	-4.0763	-4.70325	-1.8682	-2.48184	-2.62461
934682764	CTRL00107	-2.39003	-2.86513	-2.61341	-3.55195	-4.02283	-4.2066	-1.73779	-2.31386	-4.03978
1178552328	CTRL00975	-1.573	-0.267894	0.265635	-0.698631	-0.140637	-0.503809	-1.0283	-0.608823	-0.650423
1178552331	CTRL00975	-1.87868	-0.942197	-1.04761	-1.16006	-1.10443	-1.06911	-1.88775	-1.06941	-1.33794
948323334	CTRL00221	0.520642	0.587594	0.45116	0.19888	-0.850282	-1.64754	-0.653526	-0.699055	-0.95643
948323342	CTRL00221	-0.326474	-0.0244075	-0.579988	-1.21869	-0.33731	-0.70724	-0.472187	-0.919656	-0.710687
1136204684	CTRL00821	-1.98909	-1.81783	-2.05351	-1.41559	-1.44119	-2.01027	-1.50266	-1.70559	-1.06291
1136204884	CTRL00821	-0.963987	-0.794068	-0.597438	-0.710476	-0.850192	-1.59795	-0.558578	-0.894593	-0.499882
927945556	CTRL00517	-1.21244	-1.17749	-0.599636	-1.37947	-1.68479	-1.55109	-1.09359	-1.79738	-2.13582
927945562	CTRL00517	0.248932	0.513647	0.702836	-0.511447	-0.103836	0.326072	-0.117327	0.0376495	-0.519373
1003314729	CTRL00312	0.127681	0.178433	-0.0693562	0.279747	-0.14382	-0.84473	-0.213342	0.58338	-0.982104
