sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1163612791	CTRL00741	-0.270995	-0.446011	-0.543054	-2.40183	-2.16015	-1.41783	-2.15677	-2.19382	-2.65473
1163612794	CTRL00741	-2.06793	-2.57853	-3.41781	-2.49352	-2.51468	-5.13175	-2.09609	-2.20602	-2.4859
954733919	CTRL00311	-1.50362	-1.96149	-1.78855	-1.11989	-1.17772	-1.73235	-1.7507	-2.16041	-1.55524
954734137	CTRL00311	-0.420355	-0.817549	-0.859313	-1.85781	-1.75315	-2.05756	-0.829462	-1.37267	-1.16807
903486475	CTRL00208	-1.8041	-2.47499	-2.94829	-2.00373	-3.00249	-2.88243	-2.81699	-2.8046	-3.23902
903486594	CTRL00208	0.618233	0.694317	0.929274	-1.79176	-1.56957	-1.92649	-1.8769	-1.32956	-1.60527
1148671387	CTRL00731	1.60531	1.35763	1.55508	-2.41696	-1.96747	-2.27879	-1.04442	-1.42609	-1.40558
1148671388	CTRL00731	-0.20672	-1.35274	-1.07721	-1.72402	-1.44821	-2.01405	-0.0327762	0.0592169	-0.311212
1077098532	CTRL00449	-1.80282	-1.91183	-2.32764	-1.86095	-2.22566	-2.05298	-1.43926	-1.0795	-1.42695
1077098736	CTRL00449	-1.25569	-1.3665	-0.943618	-1.47752	-1.56402	-1.52444	-1.14999	-1.04479	-1.07067
938003320	CTRL00204	-2.55066	-2.45228	-3.06253	-5.24525	-3.25647	-5.02562	-2.12153	-2.84466	-3.33821
938003630	CTRL00204	-0.847798	-0.617653	-0.677869	-2.09048	-1.53425	-1.48241	-1.47665	-1.60165	-1.86384
1057734937	CTRL00542	-0.630185	-1.02838	-0.923662	-1.39794	-1.71872	-2.71056	-1.06754	-1.76493	-1.95581
1057735374	CTRL00542	-0.768692	-1.11797	-1.95585	-1.87152	-1.16266	-1.11302	-1.51589	-0.616758	-1.11047
923604459	CTRL00006	-0.542942	-0.6081	-0.301047	-0.89614	-0.394354	-0.852832	0.128633	0.292514	0.631752
923602393	CTRL00006	-0.238248	-0.0599206	-0.0486169	-0.33886	-0.472162	0.282885	-0.0292077	0.0143881	0.21341
1029493410	CTRL00277	-2.07058	-2.1198	-2.42983	-2.06919	-2.16971	-2.13667	-1.57792	-1.42523	-1.91122
1029493591	CTRL00277	1.09278	1.17212	0.714679	-0.380266	-1.03397	-1.59384	-0.836939	-0.821212	-1.05871
944242742	CTRL00510	-4.23017	-2.86633	-3.95125	-3.54961	-3.0931	-4.36978	-2.97846	-3.00282	-2.11496
944242745	CTRL00510	-1.96478	-2.97952	-2.12377	-4.29348	-3.59975	-3.69393	-2.90109	-2.80545	-2.48649
966872366	CTRL00773	-2.25382	-1.91677	-2.15429	-2.53227	-1.92241	-2.17244	-1.20593	-1.28058	-1.73269
966872748	CTRL00773	-0.600814	-0.672953	-1.36172	-2.52319	-2.45795	-3.98231	-1.77233	-1.8104	-2.44829
