sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1163612791	CTRL00741	-0.350380398	-0.439389747	-0.377811379	-2.486908492	-2.030239858	-1.273677942	-2.452638471	-2.216124244	-2.617256332
1163612794	CTRL00741	-1.717422239	-2.191040909	-3.69105436	-1.6663267	-2.435237043	-5.039631459	-2.003327462	-2.238603406	-2.676589842
954733919	CTRL00311	-1.357124693	-1.721454689	-2.602430296	-1.053005974	-1.284635173	-1.688644624	-1.931519438	-2.177593765	-1.298392439
954734137	CTRL00311	-1.255532056	-0.993338109	-0.900850415	-1.966980066	-1.913303025	-2.055101519	-1.658737804	-2.167281885	-1.849951264
903486475	CTRL00208	-1.112690842	-2.493199763	-3.248516829	-2.558412023	-3.223871706	-3.119003421	-3.158687649	-3.014790702	-3.481054548
903486594	CTRL00208	0.575499981	0.386510131	0.313779952	-2.079460292	-2.011144044	-2.793771569	-2.094352991	-1.609172224	-1.634451394
1148671387	CTRL00731	1.288739304	0.756229548	1.443162524	-2.049534422	-2.272428853	-2.673497961	-1.776830909	-2.048293336	-2.039538376
1148671388	CTRL00731	-0.386944676	-0.824138207	-0.596933413	-1.638375698	-1.229195117	-2.124026283	0.157431003	-0.013711424	-0.448273298
1077098532	CTRL00449	-1.951681622	-2.108429062	-2.804154516	-2.039301081	-2.603771129	-2.309630793	-2.199046139	-1.872970866	-2.114525758
1077098736	CTRL00449	-1.382197553	-1.249219942	-0.932979197	-1.591036829	-1.365166481	-1.287803712	-1.190111965	-1.341969861	-1.582199593
938003320	CTRL00204	-1.720224065	-1.768359532	-2.094015717	-4.076762598	-2.43477519	-4.685036691	-1.597096907	-2.461867298	-3.014444499
938003630	CTRL00204	-0.411966556	-0.218123636	-0.299752682	-1.316600484	-1.166989424	-0.885398528	-1.268682148	-1.117832505	-1.399685448
1057734937	CTRL00542	-0.587246038	-1.472490067	-0.428333114	-0.883069753	-1.639971672	-3.099366054	-1.219847559	-2.119832946	-2.079358833
1057735374	CTRL00542	-0.76295883	-1.562775812	-2.107383743	-2.248709996	-1.248171704	-1.364854636	-2.053652965	-1.02746203	-1.389337736
923604459	CTRL00006	-0.477884183	-0.264610326	0.210534931	-0.865783946	-0.046242826	-0.623731884	0.176426512	0.044450344	0.752275898
923602393	CTRL00006	-0.200535369	0.392627297	-0.049865305	0.901635157	-0.048704189	0.86192295	0.331826582	0.145344898	0.175651705
1029493410	CTRL00277	-1.851622728	-1.936077604	-1.268109585	-1.272790031	-1.753465268	-1.877294633	-1.546057116	-1.011645852	-1.259718536
1029493591	CTRL00277	1.033141169	1.538100175	1.524784674	-0.542315878	-0.610293445	-1.533257253	-0.475691467	-0.453507032	-0.884136222
944242742	CTRL00510	-4.248582927	-2.648868526	-3.771747039	-3.539862355	-2.914645475	-4.210237604	-2.972180994	-2.912253064	-1.958363124
944242745	CTRL00510	-2.335088856	-2.458105546	-1.978453325	-3.476905422	-3.102512475	-3.159997362	-3.068748314	-2.815305949	-1.861361992
966872366	CTRL00773	-1.959168498	-2.185955165	-1.775410067	-2.413921652	-1.766579152	-2.395222623	-1.575564956	-1.389112521	-2.188464852
966872748	CTRL00773	-0.572732824	-0.5624306	-1.384192262	-1.973440465	-2.263437448	-4.231419601	-1.375245049	-1.613416418	-2.280288069
923734896	CTRL00683	0.447336173	0.612127707	-0.569410563	-1.672406222	-1.241057831	-2.564233736	-1.219981284	-0.776546628	-1.60249125
923735578	CTRL00683	-0.100757281	-0.424694808	-0.746432761	-1.069706814	-1.325924658	-2.379778046	-0.630507702	-0.971746626	-2.200543525
904085819	CTRL00749	-3.178373907	-1.561716213	-3.022790605	-3.627246389	-2.572854626	-2.359965242	-3.308133344	-3.071050542	-3.381792923
904085811	CTRL00749	-1.416578651	-0.687600755	-0.999547854	-2.062753476	-1.933175216	-1.475352189	-2.761021558	-1.793305098	-1.789199165
1147789207	CTRL00175	-0.130969036	-0.467808426	-0.864084959	-3.059423302	-2.150295806	-4.055384345	-0.730633314	-2.695843983	-1.709074894
1147788663	CTRL00175	-1.211035338	-0.967668032	-1.415287131	-2.317694891	-1.730941625	-2.630694687	-2.134680397	-1.98704427	-1.690527328
1006312792	CTRL00320	-2.888091015	-1.786564448	-1.494874424	-0.494938811	-1.538902523	-1.728904004	-2.700533908	-1.564814967	-2.918417405
1006313200	CTRL00320	-1.716313666	-1.55959912	-1.080692453	-2.68672605	-3.361286392	-1.851536935	-3.033200995	-2.811126889	-3.204884126
1143668510	CTRL00316	-2.624579701	-1.57568701	-1.812484474	-1.821771037	-1.632370497	-1.536075581	-2.296374102	-2.020342287	-2.143124773
1143668526	CTRL00316	-1.097364356	-1.227527876	-1.135317288	-1.460418339	-2.281035286	-2.255465095	-1.120109324	-1.932539286	-1.244950191
1161384366	CTRL00901	-2.51709833	-2.494548947	-2.13725315	-2.07072417	-2.092075739	-3.131397562	-2.66899915	-2.295701509	-2.644029251
1161384218	CTRL00901	-1.873714561	-1.939173548	-1.653742267	-1.163293377	-2.348566405	-2.664308761	-2.538611584	-2.565167047	-2.062084288
906340726	CTRL00890	-0.974594336	-0.992189431	-1.255059424	-1.654029069	-1.447763603	-2.711119952	-1.763931143	-2.025017142	-2.480076132
906336992	CTRL00890	0.539544241	-0.185229353	0.149133136	-2.637956631	-2.62605877	-1.522124848	-3.348712518	-2.67864164	-3.489009678
1051655581	CTRL00054	0.225012321	0.379298199	0.70699863	-3.043200338	-2.139678846	-2.370099672	-2.049505008	-2.031487748	-0.810119795
