sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1163612791	CTRL00741	-0.213834249	-0.425139442	-0.579790973	-2.120315946	-2.091384662	-1.318492638	-2.16691881	-2.1426544	-2.610864318
1163612794	CTRL00741	-1.873400135	-2.310968079	-3.51342085	-2.303823089	-2.526202152	-5.146796489	-2.154266624	-2.169078159	-2.557232326
954733919	CTRL00311	-1.531650125	-1.95197843	-1.869201945	-1.043496695	-1.277843451	-1.735634826	-1.600801879	-2.14850353	-1.442874221
954734137	CTRL00311	-0.412323157	-0.766645688	-0.904281806	-1.671906324	-1.832768694	-2.08671507	-0.791379775	-1.37525594	-1.252204605
903486475	CTRL00208	-1.78374197	-2.462646715	-3.022219637	-2.010887859	-2.970351723	-2.836651632	-2.810125568	-2.866359051	-3.255956764
903486594	CTRL00208	0.664418385	0.668669059	0.914416672	-1.83597584	-1.48111045	-2.001494826	-1.89574196	-1.333856897	-1.438936925
1148671387	CTRL00731	1.562857768	1.291755312	1.502238577	-2.358692262	-1.856374062	-2.300005144	-1.047810297	-1.437428596	-1.391189321
1148671388	CTRL00731	-0.205606792	-1.19210951	-1.046946656	-1.804257794	-1.489665849	-2.026495584	-0.00216756	0.031358341	-0.323799656
1077098532	CTRL00449	-1.797938551	-1.808373548	-2.303028647	-1.834970941	-2.245475362	-2.070925575	-1.507513985	-1.015429972	-1.369774998
1077098736	CTRL00449	-1.211642986	-1.357742382	-1.034471724	-1.444687598	-1.612532616	-1.608633515	-1.198614313	-1.065761496	-1.101507913
938003320	CTRL00204	-2.366895529	-2.495395381	-2.783104634	-4.563859179	-3.171244692	-5.144343993	-2.196517082	-2.892911264	-3.400615818
938003630	CTRL00204	-0.771535138	-0.627210572	-0.700118444	-2.12237483	-1.462162926	-1.461195178	-1.470515035	-1.552441321	-1.776903703
1057734937	CTRL00542	-0.546258929	-1.140732981	-0.776639085	-1.267425808	-1.756035861	-2.839570309	-1.076551546	-1.838404155	-1.974197573
1057735374	CTRL00542	-0.765098154	-1.127275831	-1.907851689	-1.86967026	-1.192743676	-1.131672908	-1.578037754	-0.701061276	-1.103799925
923604459	CTRL00006	-0.517636461	-0.564106813	-0.186093898	-0.82468065	-0.406923367	-0.871059474	0.161044675	0.320501982	0.640244433
923602393	CTRL00006	-0.256009967	-0.053402773	-0.075070051	-0.410009149	-0.496748572	0.221482908	-0.040825852	0.018346553	0.157895202
1029493410	CTRL00277	-2.149521176	-2.074928596	-2.334475908	-2.178192525	-1.973510421	-1.973387388	-1.544478983	-1.391079676	-1.702658806
1029493591	CTRL00277	1.039002414	1.065332274	0.71666624	-0.403029501	-1.015583142	-1.463213886	-0.839347221	-0.728249928	-1.002390471
944242742	CTRL00510	-4.125881658	-2.80824691	-4.039856975	-3.476541362	-3.021735841	-4.191615866	-2.867750137	-2.789234256	-2.069208959
944242745	CTRL00510	-2.090371367	-2.809359571	-2.119722214	-3.654536013	-3.341424645	-3.79407782	-3.044083716	-2.691146059	-2.214658284
966872366	CTRL00773	-2.081288407	-1.973850242	-2.161352499	-2.561915151	-1.952459913	-2.202288134	-1.257927354	-1.235231574	-1.659772449
966872748	CTRL00773	-0.567129668	-0.664715557	-1.357693096	-2.52824131	-2.368684971	-4.016753417	-1.781603302	-1.863043141	-2.110750932
923734896	CTRL00683	-0.243879806	-0.371708793	-0.639366455	-1.860599415	-1.525826747	-2.268911631	-1.227589034	-1.303996867	-1.177974216
923735578	CTRL00683	-0.361457699	-0.794864428	-0.948763343	-1.362168561	-1.532178918	-2.086545379	-0.960000117	-1.51868844	-1.989835428
904085819	CTRL00749	-3.555418579	-1.809884248	-2.68145996	-3.576299681	-2.762377414	-3.100634682	-3.289516131	-3.009513307	-3.501969764
904085811	CTRL00749	-1.611113429	-1.843359609	-1.748543388	-2.722551457	-2.31260904	-2.066542534	-2.323846632	-2.141121312	-2.514019318
1147789207	CTRL00175	-0.919530557	-0.448464298	-0.786027396	-3.341720046	-2.862893444	-4.00545892	-0.889240503	-2.229565901	-1.55885535
1147788663	CTRL00175	-1.079841098	-0.78538054	-1.473134298	-2.181148742	-1.254137474	-2.378282183	-0.803752606	-1.155946398	-1.116284992
1006312792	CTRL00320	-3.272018433	-1.99493374	-1.935825243	-2.234238109	-2.765885925	-2.846943215	-3.00260499	-2.305907398	-3.235939645
1006313200	CTRL00320	-1.755639547	-2.114484959	-2.004782934	-3.043196019	-3.762644032	-2.797634653	-3.150412863	-2.80325	-3.48783577
1143668510	CTRL00316	-1.952955658	-1.224364381	-1.312653713	-1.695735141	-1.329017096	-1.61401739	-1.640300562	-1.513489488	-1.742809022
1143668526	CTRL00316	-0.819262155	-1.075324633	-1.108546858	-1.4896832	-2.117904825	-2.531172019	-0.874308694	-1.573825904	-1.202268759
1161384366	CTRL00901	-2.643739094	-2.772587071	-2.322264045	-2.402744578	-2.208665129	-2.905079491	-2.596076309	-2.288807908	-2.330105209
1161384218	CTRL00901	-1.79265937	-2.04362147	-2.077641557	-1.306558413	-2.380233455	-2.863045371	-2.161351448	-2.332987934	-1.80124106
906340726	CTRL00890	-1.12656574	-1.295444602	-1.301538002	-2.346245795	-1.998017725	-3.201610435	-1.335124897	-1.755223101	-2.692120854
906336992	CTRL00890	0.223535341	-0.204441459	-0.335544923	-2.235172807	-2.747025093	-1.721118175	-2.923748834	-2.527221934	-3.108280739
1051655581	CTRL00054	-0.695318463	-0.861741081	-0.499006393	-4.544841064	-3.782500955	-4.279120876	-3.389179244	-3.357270382	-2.560695695
1051655566	CTRL00054	-3.39659353	-2.629114454	-2.867444359	-4.95891334	-3.864498329	-5.051501697	-3.732094492	-3.957765782	-5.822774242
1154994009	CTRL00161	-2.8833713	-2.38501844	-3.073825574	-3.069592297	-3.085022055	-2.851706617	-3.1343727	-2.549437108	-2.757502481
1154994722	CTRL00161	-2.203324576	-2.051566612	-2.42487627	-1.864441653	-2.32134189	-1.945381955	-2.271636155	-2.681719884	-2.208798681
1200057466	CTRL00757	-0.340855198	-0.909186254	-0.551821996	-0.951673653	-1.032412	-1.385726888	-1.262781642	-1.74417045	-1.681558828
1200057471	CTRL00757	-0.573848053	-0.790129935	-0.608128221	-1.059169014	-0.910626147	-1.308865596	-0.52430218	-0.382408128	-0.720727899
